
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=24000.0s] a=8517, e=0.1308, goal_e=0.1243, Fr=1.0000, Fs=-0.6934, reward=93.883
[t=36000.0s] a=8513, e=0.1305, goal_e=0.1243, Fr=-0.3257, Fs=1.0000, reward=128.846
[t=48000.0s] a=8517, e=0.1303, goal_e=0.1243, Fr=0.7767, Fs=1.0000, reward=-109.923
[t=60000.0s] a=8530, e=0.1297, goal_e=0.1243, Fr=0.5629, Fs=-0.8425, reward=-166.860
[t=72000.0s] a=8517, e=0.1294, goal_e=0.1243, Fr=0.3302, Fs=-0.3436, reward=-103.031
[t=84000.0s] a=8514, e=0.1295, goal_e=0.1243, Fr=-0.3799, Fs=-0.4576, reward=-71.026
[t=96000.0s] a=8518, e=0.1297, goal_e=0.1243, Fr=0.7130, Fs=-1.0000, reward=-110.215
[t=108000.0s] a=8521, e=0.1302, goal_e=0.1243, Fr=0.5883, Fs=1.0000, reward=75.598
[t=120000.0s] a=8525, e=0.1304, goal_e=0.1243, Fr=-0.4616, Fs=-0.5965, reward=-122.144
[t=132000.0s] a=8530, e=0.1318, goal_e=0.1243, Fr=-0.0022, Fs=-0.0140, reward=-145.365
[t=144000.0s] a=8516, e=0.1316, goal_e=0.1243, Fr=-0.0057, Fs=-0.5595, reward=-84.963
[t=156000.0s] a=8521, e=0.1326, goal_e=0.1243, Fr=0.1630, Fs=-0.2720, reward=73.589
[t=168000.0s] a=8526, e=0.1336, goal_e=0.1243, Fr=0.6181, Fs=1.0000, reward=47.841
[t=180000.0s] a=8539, e=0.1340, goal_e=0.1243, Fr=1.0000, Fs=0.1892, reward=-211.433
[t=192000.0s] a=8537, e=0.1353, goal_e=0.1243, Fr=1.0000, Fs=0.4516, reward=-51.238
[t=204000.0s] a=8528, e=0.1353, goal_e=0.1243, Fr=0.9760, Fs=-0.4612, reward=-11.584
[t=216000.0s] a=8539, e=0.1355, goal_e=0.1243, Fr=0.7363, Fs=0.1924, reward=-55.953
[t=228000.0s] a=8539, e=0.1356, goal_e=0.1243, Fr=0.5879, Fs=0.4386, reward=-256.534
