
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=432000.0s] a=8487, e=0.0872, goal_e=0.1489, Fr=-1.0000, Fs=-0.0586, reward=-207.293
[t=444000.0s] a=8502, e=0.0874, goal_e=0.1489, Fr=0.9746, Fs=1.0000, reward=-1.816
[t=456000.0s] a=8498, e=0.0891, goal_e=0.1489, Fr=-0.2986, Fs=-1.0000, reward=1.382
[t=468000.0s] a=8504, e=0.0903, goal_e=0.1489, Fr=0.5721, Fs=-0.4164, reward=-197.135
[t=480000.0s] a=8501, e=0.0912, goal_e=0.1489, Fr=0.3855, Fs=-0.2376, reward=8.607
[t=492000.0s] a=8502, e=0.0920, goal_e=0.1489, Fr=-0.8765, Fs=1.0000, reward=7.075
[t=504000.0s] a=8503, e=0.0933, goal_e=0.1489, Fr=0.6008, Fs=-0.4513, reward=10.431
[t=516000.0s] a=8510, e=0.0953, goal_e=0.1489, Fr=0.1810, Fs=0.5416, reward=0.691
[t=528000.0s] a=8505, e=0.0969, goal_e=0.1489, Fr=0.3313, Fs=-0.2425, reward=-184.342
[t=540000.0s] a=8504, e=0.0980, goal_e=0.1489, Fr=0.3690, Fs=-0.2333, reward=19.848
[t=552000.0s] a=8495, e=0.0997, goal_e=0.1489, Fr=1.0000, Fs=0.4958, reward=-181.843
[t=564000.0s] a=8506, e=0.1007, goal_e=0.1489, Fr=0.5473, Fs=1.0000, reward=-181.328
[t=576000.0s] a=8497, e=0.1010, goal_e=0.1489, Fr=0.4961, Fs=-1.0000, reward=-176.728
[t=588000.0s] a=8503, e=0.1017, goal_e=0.1489, Fr=1.0000, Fs=-0.6219, reward=24.719
[t=600000.0s] a=8497, e=0.1028, goal_e=0.1489, Fr=-1.0000, Fs=1.0000, reward=26.891
[t=612000.0s] a=8499, e=0.1041, goal_e=0.1489, Fr=0.4157, Fs=0.2209, reward=-167.163
[t=624000.0s] a=8497, e=0.1059, goal_e=0.1489, Fr=0.0910, Fs=1.0000, reward=32.499
[t=636000.0s] a=8486, e=0.1066, goal_e=0.1489, Fr=-0.6679, Fs=0.2614, reward=-193.244
[t=648000.0s] a=8493, e=0.1073, goal_e=0.1489, Fr=0.3671, Fs=-0.4294, reward=-169.594
[t=660000.0s] a=8495, e=0.1089, goal_e=0.1489, Fr=-1.0000, Fs=-1.0000, reward=34.108
[t=672000.0s] a=8491, e=0.1107, goal_e=0.1489, Fr=-0.3921, Fs=1.0000, reward=30.147
[t=684000.0s] a=8499, e=0.1132, goal_e=0.1489, Fr=-0.3399, Fs=0.4422, reward=-151.712
[t=696000.0s] a=8500, e=0.1147, goal_e=0.1489, Fr=0.0003, Fs=1.0000, reward=-151.415
[t=708000.0s] a=8485, e=0.1181, goal_e=0.1489, Fr=0.3020, Fs=-0.1827, reward=-154.837
[t=720000.0s] a=8498, e=0.1215, goal_e=0.1489, Fr=0.7206, Fs=-0.5584, reward=59.393
[t=732000.0s] a=8495, e=0.1234, goal_e=0.1489, Fr=1.0000, Fs=-0.1309, reward=-122.357
[t=744000.0s] a=8498, e=0.1251, goal_e=0.1489, Fr=-0.5108, Fs=-0.9453, reward=64.427
[t=756000.0s] a=8499, e=0.1257, goal_e=0.1489, Fr=0.4567, Fs=0.1133, reward=-111.785
[t=768000.0s] a=8498, e=0.1274, goal_e=0.1489, Fr=0.4828, Fs=-0.3345, reward=69.625
[t=780000.0s] a=8499, e=0.1294, goal_e=0.1489, Fr=-0.3510, Fs=-0.7087, reward=-108.496
[t=792000.0s] a=8484, e=0.1326, goal_e=0.1489, Fr=0.9355, Fs=-0.6884, reward=40.036
[t=804000.0s] a=8478, e=0.1360, goal_e=0.1489, Fr=-1.0000, Fs=-0.3846, reward=-166.438
[t=816000.0s] a=8478, e=0.1392, goal_e=0.1489, Fr=-0.6479, Fs=0.0701, reward=87.708
[t=828000.0s] a=8469, e=0.1417, goal_e=0.1489, Fr=-0.6480, Fs=-1.0000, reward=-153.738
[t=840000.0s] a=8470, e=0.1430, goal_e=0.1489, Fr=-0.2695, Fs=1.0000, reward=-149.797
[t=852000.0s] a=8489, e=0.1444, goal_e=0.1489, Fr=0.6021, Fs=-0.7742, reward=-80.756
 SUCCESS #1 of #5 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8508, e=0.2371, goal_e=0.1092, Fr=0.2518, Fs=-0.4100, reward=-352.977
[t=24000.0s] a=8516, e=0.2401, goal_e=0.1092, Fr=-0.6244, Fs=-0.5147, reward=-185.141
[t=36000.0s] a=8513, e=0.2427, goal_e=0.1092, Fr=0.3617, Fs=-0.1442, reward=-357.866
[t=48000.0s] a=8516, e=0.2444, goal_e=0.1092, Fr=1.0000, Fs=0.0203, reward=-379.501
[t=60000.0s] a=8517, e=0.2460, goal_e=0.1092, Fr=0.0920, Fs=0.8369, reward=-203.934
[t=72000.0s] a=8504, e=0.2480, goal_e=0.1092, Fr=1.0000, Fs=1.0000, reward=-370.792
[t=84000.0s] a=8493, e=0.2507, goal_e=0.1092, Fr=1.0000, Fs=0.0558, reward=-160.156
[t=96000.0s] a=8503, e=0.2530, goal_e=0.1092, Fr=1.0000, Fs=-1.0000, reward=-379.506
[t=108000.0s] a=8499, e=0.2542, goal_e=0.1092, Fr=-1.0000, Fs=-0.7853, reward=-380.806
[t=120000.0s] a=8496, e=0.2572, goal_e=0.1092, Fr=1.0000, Fs=-0.0530, reward=-368.800
[t=132000.0s] a=8484, e=0.2607, goal_e=0.1092, Fr=0.4613, Fs=0.4466, reward=-427.406
[t=144000.0s] a=8480, e=0.2638, goal_e=0.1092, Fr=0.4990, Fs=-0.0911, reward=-452.828
[t=156000.0s] a=8474, e=0.2655, goal_e=0.1092, Fr=0.2889, Fs=1.0000, reward=-485.852
[t=168000.0s] a=8480, e=0.2690, goal_e=0.1092, Fr=0.9068, Fs=-0.8302, reward=-463.671
[t=180000.0s] a=8492, e=0.2717, goal_e=0.1092, Fr=-0.7956, Fs=1.0000, reward=-423.699
