a (km),e,i (rad),RAAN (rad),argp (rad),nu (rad),mass (kg)
6999.6035213487485,0.020034186433066807,0.8901417784966574,5.47708923735299,0.001454141791767327,3.792707204037191,499.98141502274103
6999.6070954389215,0.020034088161056913,0.8901413116489505,5.477034379484116,0.0014628258069779043,3.8554696081411497,499.9813248540531
6999.6070954389215,0.020034088161056913,0.8901413116489505,5.476979446995973,0.0015056030928907935,3.9183029354215324,499.9813248540531
6999.6070954389215,0.020034088161056913,0.8901413116489505,5.47692451450783,0.0015483803788036829,3.981248917568307,499.9813248540531
6999.6070954389215,0.020034088161056913,0.8901413116489505,5.476869582019686,0.001591157664716572,4.044314873923451,499.9813248540531
6999.6070954389215,0.020034088161056913,0.8901413116489505,5.476814649531543,0.0016339349506294615,4.107507719830369,499.9813248540531
6999.5642864359625,0.02003849442617278,0.8901444001791312,5.476760485182683,0.001903944767802079,4.170606122411883,499.98073692100206
6999.532125405279,0.020035923494066753,0.8901391261612783,5.476703788523406,0.0022739680661635073,4.233745324600353,499.97971724511723
6999.532125405279,0.020035923494066753,0.8901391261612783,5.476648853819602,0.0023167474285320224,4.29735548031956,499.97971724511723
6999.536159881261,0.02003597966140884,0.8901390280024705,5.476593868562448,0.002327769569236375,4.361147321610901,499.9796638343497
6999.536159881261,0.02003597966140884,0.8901390280024705,5.47653893396256,0.0023705488664491616,4.425061726201068,499.9796638343497
6999.536159881261,0.02003597966140884,0.8901390280024705,5.476483999362673,0.0024133281636619483,4.489134350237099,499.9796638343497
6999.532777051987,0.02004123265273899,0.8901382403892107,5.4764284109062755,0.002440923096470195,4.553384057299595,499.97898162421757
6999.532777051987,0.02004123265273899,0.8901382403892107,5.476373476136892,0.00248370265219288,4.617782327350286,499.97898162421757
6999.522535596564,0.020039480325266583,0.8901340360783725,5.476313969874212,0.002604361839484182,4.682271738586438,499.978233009413
6999.522535596564,0.020039480325266583,0.8901340360783725,5.476259034545995,0.002647142505752276,4.747003604157753,499.978233009413
6999.522535596564,0.020039480325266583,0.8901340360783725,5.476204099217777,0.002689923172020369,4.8119035688145235,499.978233009413
6999.426483776087,0.02004088902412388,0.8901344878586326,5.476149888358083,0.003436844120616232,4.876266736582819,499.9772417391978
6999.445962720779,0.020039325237555725,0.8901356513588421,5.47609709047054,0.00331741519882576,4.9416624274387635,499.9768163811607
6999.416575653369,0.020044957665049285,0.8901341642834384,5.47603899864714,0.0036671715641428937,5.0067579540182665,499.97579671327145
6999.416575653369,0.020044957665049285,0.8901341642834384,5.475984060392717,0.0037099544885863815,5.072321884444254,499.97579671327145
6999.415719714405,0.020044969932397138,0.8901341391170456,5.475929048518687,0.0037597170384191278,5.138039370855375,499.9757825990852
6999.482937718128,0.02004972131656034,0.8901358525588012,5.475880179372231,0.0033875147916912875,5.204331854026052,499.9748897067605
