
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=636000.0s] e=0.10, goal=0.00, Fr=-1.0000, Fs=1.0000, reward=-4.974
[t=648000.0s] e=0.10, goal=0.00, Fr=-1.0000, Fs=-0.8031, reward=-4.997
[t=660000.0s] e=0.10, goal=0.00, Fr=-1.0000, Fs=-1.0000, reward=-4.951
[t=672000.0s] e=0.10, goal=0.00, Fr=0.1103, Fs=0.3432, reward=-4.983
[t=684000.0s] e=0.10, goal=0.00, Fr=-0.2231, Fs=-0.5225, reward=-4.946
[t=696000.0s] e=0.10, goal=0.00, Fr=0.7264, Fs=0.8925, reward=-4.973
[t=708000.0s] e=0.10, goal=0.00, Fr=-1.0000, Fs=-1.0000, reward=-5.015
[t=720000.0s] e=0.10, goal=0.00, Fr=0.2021, Fs=-0.1686, reward=-5.002
[t=732000.0s] e=0.10, goal=0.00, Fr=-1.0000, Fs=-1.0000, reward=-5.017
[t=744000.0s] e=0.10, goal=0.00, Fr=0.2209, Fs=-1.0000, reward=-4.994
[t=756000.0s] e=0.10, goal=0.00, Fr=-0.3072, Fs=0.1691, reward=-5.017
[t=768000.0s] e=0.10, goal=0.00, Fr=-0.3033, Fs=1.0000, reward=-5.084
[t=780000.0s] e=0.10, goal=0.00, Fr=-0.8667, Fs=-1.0000, reward=-5.077
[t=792000.0s] e=0.10, goal=0.00, Fr=0.7093, Fs=0.6360, reward=-5.097
[t=804000.0s] e=0.10, goal=0.00, Fr=-1.0000, Fs=0.2826, reward=-5.066
[t=816000.0s] e=0.10, goal=0.00, Fr=0.2055, Fs=0.5015, reward=-5.054
[t=828000.0s] e=0.10, goal=0.00, Fr=0.5437, Fs=1.0000, reward=-5.005
[t=840000.0s] e=0.10, goal=0.00, Fr=-1.0000, Fs=-0.5620, reward=-4.998
[t=852000.0s] e=0.10, goal=0.00, Fr=0.0345, Fs=-0.8993, reward=-5.017
[t=864000.0s] e=0.10, goal=0.00, Fr=-0.6741, Fs=-0.8652, reward=-4.986
 FAILURE #5 of #5 episodes

 ------------------------------------------------- 
[t=12000.0s] e=0.07, goal=0.20, Fr=-1.0000, Fs=-0.8851, reward=-6.651
[t=24000.0s] e=0.07, goal=0.20, Fr=-0.0131, Fs=-0.4947, reward=-6.679
[t=36000.0s] e=0.07, goal=0.20, Fr=0.4589, Fs=-1.0000, reward=-6.673
[t=48000.0s] e=0.07, goal=0.20, Fr=-1.0000, Fs=-0.1139, reward=-6.743
[t=60000.0s] e=0.07, goal=0.20, Fr=0.3742, Fs=-0.8135, reward=-6.716
[t=72000.0s] e=0.07, goal=0.20, Fr=0.4820, Fs=-0.2767, reward=-6.704
[t=84000.0s] e=0.07, goal=0.20, Fr=-0.3923, Fs=-0.4670, reward=-6.696
[t=96000.0s] e=0.07, goal=0.20, Fr=0.8066, Fs=-0.0007, reward=-6.735
