
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=168000.0s] a=7706, e=0.0538, goal_e=0.2000, Fr=-0.0958, Fs=-1.0000, reward=5.078
[t=180000.0s] a=7726, e=0.0503, goal_e=0.2000, Fr=-0.5435, Fs=-1.0000, reward=-0.012
[t=192000.0s] a=7738, e=0.0473, goal_e=0.2000, Fr=0.3067, Fs=-0.3598, reward=-0.026
[t=204000.0s] a=7756, e=0.0446, goal_e=0.2000, Fr=0.1032, Fs=-0.3135, reward=-0.033
[t=216000.0s] a=7782, e=0.0412, goal_e=0.2000, Fr=-0.3848, Fs=1.0000, reward=-10.036
[t=228000.0s] a=7789, e=0.0391, goal_e=0.2000, Fr=0.7869, Fs=-0.1214, reward=-0.038
[t=240000.0s] a=7796, e=0.0358, goal_e=0.2000, Fr=0.0136, Fs=-0.0640, reward=-0.040
[t=252000.0s] a=7817, e=0.0321, goal_e=0.2000, Fr=0.9922, Fs=0.7377, reward=-0.042
[t=264000.0s] a=7832, e=0.0299, goal_e=0.2000, Fr=0.3411, Fs=0.9455, reward=-10.044
[t=276000.0s] a=7837, e=0.0267, goal_e=0.2000, Fr=0.2321, Fs=1.0000, reward=-0.046
[t=288000.0s] a=7844, e=0.0247, goal_e=0.2000, Fr=-1.0000, Fs=0.6823, reward=-0.048
[t=300000.0s] a=7870, e=0.0210, goal_e=0.2000, Fr=0.4503, Fs=-0.3247, reward=-0.050
[t=312000.0s] a=7873, e=0.0166, goal_e=0.2000, Fr=0.2085, Fs=0.7374, reward=-10.052
[t=324000.0s] a=7883, e=0.0133, goal_e=0.2000, Fr=1.0000, Fs=-0.2908, reward=-0.054
[t=336000.0s] a=7908, e=0.0108, goal_e=0.2000, Fr=1.0000, Fs=0.5266, reward=-0.056
[t=348000.0s] a=7927, e=0.0077, goal_e=0.2000, Fr=-0.3976, Fs=-1.0000, reward=4.942
[t=360000.0s] a=7944, e=0.0054, goal_e=0.2000, Fr=-0.0388, Fs=-0.8707, reward=-0.060
[t=372000.0s] a=7971, e=0.0030, goal_e=0.2000, Fr=-0.0434, Fs=0.9375, reward=4.938
[t=384000.0s] a=7997, e=0.0001, goal_e=0.2000, Fr=0.3523, Fs=0.2204, reward=-0.064
[t=396000.0s] a=8010, e=0.0004, goal_e=0.2000, Fr=1.0000, Fs=1.0000, reward=-0.066
[t=408000.0s] a=8025, e=0.0002, goal_e=0.2000, Fr=0.7221, Fs=-0.0677, reward=-0.068
[t=420000.0s] a=8053, e=0.0004, goal_e=0.2000, Fr=0.6577, Fs=0.8825, reward=-0.070
[t=432000.0s] a=8062, e=0.0003, goal_e=0.2000, Fr=0.2301, Fs=0.6802, reward=-0.072
[t=444000.0s] a=8079, e=0.0001, goal_e=0.2000, Fr=-1.0000, Fs=-0.4755, reward=-10.074
[t=456000.0s] a=8100, e=0.0005, goal_e=0.2000, Fr=1.0000, Fs=-0.7417, reward=4.924
[t=468000.0s] a=8134, e=0.0005, goal_e=0.2000, Fr=-1.0000, Fs=-0.7189, reward=-0.078
[t=480000.0s] a=8154, e=0.0002, goal_e=0.2000, Fr=0.4463, Fs=-0.2974, reward=-0.080
[t=492000.0s] a=8198, e=0.0007, goal_e=0.2000, Fr=1.0000, Fs=1.0000, reward=4.918
[t=504000.0s] a=8232, e=0.0010, goal_e=0.2000, Fr=0.5932, Fs=0.6122, reward=-0.084
[t=516000.0s] a=8274, e=0.0006, goal_e=0.2000, Fr=-1.0000, Fs=0.7853, reward=-0.086
[t=528000.0s] a=8295, e=0.0002, goal_e=0.2000, Fr=-0.2678, Fs=-1.0000, reward=-0.088
[t=540000.0s] a=8326, e=0.0008, goal_e=0.2000, Fr=-1.0000, Fs=-1.0000, reward=-10.090
[t=552000.0s] a=8358, e=0.0006, goal_e=0.2000, Fr=1.0000, Fs=-1.0000, reward=4.908
[t=564000.0s] a=8368, e=0.0001, goal_e=0.2000, Fr=0.4016, Fs=1.0000, reward=4.906
[t=576000.0s] a=8395, e=0.0006, goal_e=0.2000, Fr=0.1728, Fs=1.0000, reward=-0.096
[t=588000.0s] a=8422, e=0.0004, goal_e=0.2000, Fr=-0.5033, Fs=0.4089, reward=-0.098
[t=600000.0s] a=8428, e=0.0004, goal_e=0.2000, Fr=1.0000, Fs=0.0232, reward=-0.100
[t=612000.0s] a=8457, e=0.0002, goal_e=0.2000, Fr=-0.0072, Fs=1.0000, reward=-0.102
[t=624000.0s] a=8479, e=0.0005, goal_e=0.2000, Fr=-0.5572, Fs=-1.0000, reward=4.896
[t=636000.0s] a=8496, e=0.0004, goal_e=0.2000, Fr=0.5896, Fs=0.1257, reward=-0.106
[t=648000.0s] a=8528, e=0.0009, goal_e=0.2000, Fr=-0.7770, Fs=-0.5161, reward=-0.108
[t=660000.0s] a=8548, e=0.0004, goal_e=0.2000, Fr=-0.9285, Fs=1.0000, reward=-10.110
[t=672000.0s] a=8568, e=0.0002, goal_e=0.2000, Fr=1.0000, Fs=0.8238, reward=4.888
[t=684000.0s] a=8577, e=0.0006, goal_e=0.2000, Fr=-0.8834, Fs=-0.0727, reward=-0.114
[t=696000.0s] a=8598, e=0.0005, goal_e=0.2000, Fr=1.0000, Fs=-0.7747, reward=-0.116
[t=708000.0s] a=8616, e=0.0005, goal_e=0.2000, Fr=-0.5108, Fs=1.0000, reward=-0.118
[t=720000.0s] a=8639, e=0.0008, goal_e=0.2000, Fr=0.9714, Fs=-0.2555, reward=-0.120
[t=732000.0s] a=8665, e=0.0004, goal_e=0.2000, Fr=1.0000, Fs=1.0000, reward=4.878
 FAILURE #6 of #6 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7510, e=0.1115, goal_e=0.0000, Fr=1.0000, Fs=0.5737, reward=489.472
[t=24000.0s] a=7522, e=0.1099, goal_e=0.0000, Fr=-1.0000, Fs=-1.0000, reward=444.149
[t=36000.0s] a=7531, e=0.1094, goal_e=0.0000, Fr=-1.0000, Fs=0.8237, reward=415.815
[t=48000.0s] a=7539, e=0.1088, goal_e=0.0000, Fr=1.0000, Fs=0.9324, reward=369.999
[t=60000.0s] a=7544, e=0.1087, goal_e=0.0000, Fr=-1.0000, Fs=1.0000, reward=340.794
[t=72000.0s] a=7562, e=0.1080, goal_e=0.0000, Fr=0.8772, Fs=0.3226, reward=233.116
[t=84000.0s] a=7574, e=0.1066, goal_e=0.0000, Fr=0.1990, Fs=-1.0000, reward=173.195
[t=96000.0s] a=7598, e=0.1040, goal_e=0.0000, Fr=0.4199, Fs=0.9639, reward=74.423
[t=108000.0s] a=7620, e=0.1040, goal_e=0.0000, Fr=1.0000, Fs=0.2236, reward=28.376
