
 ------------------------------------------------- 
[t=372000.0s] a=8109.34, goal=8230.68, Fs=0.8480, reward=-195.134
[t=384000.0s] a=8109.31, goal=8230.68, Fs=1.0000, reward=-201.138
[t=396000.0s] a=8112.68, goal=8230.68, Fs=-0.6069, reward=-213.800
[t=408000.0s] a=8124.75, goal=8230.68, Fs=0.7482, reward=-211.593
[t=420000.0s] a=8157.35, goal=8230.68, Fs=-0.4257, reward=-221.333
[t=432000.0s] a=8163.92, goal=8230.68, Fs=0.1857, reward=-219.676
[t=444000.0s] a=8168.72, goal=8230.68, Fs=-1.0000, reward=-232.196
[t=456000.0s] a=8177.97, goal=8230.68, Fs=-0.6323, reward=-237.271
[t=468000.0s] a=8184.92, goal=8230.68, Fs=0.5392, reward=-235.577
[t=480000.0s] a=8185.57, goal=8230.68, Fs=0.1422, reward=-241.511
[t=492000.0s] a=8173.50, goal=8230.68, Fs=-0.8847, reward=-255.718
[t=504000.0s] a=8161.43, goal=8230.68, Fs=-0.0032, reward=-262.925
[t=516000.0s] a=8159.20, goal=8230.68, Fs=0.0001, reward=-262.148
[t=528000.0s] a=8153.68, goal=8230.68, Fs=1.0000, reward=-268.701
[t=540000.0s] a=8150.71, goal=8230.68, Fs=0.6598, reward=-274.997
[t=552000.0s] a=8155.69, goal=8230.68, Fs=0.1905, reward=-280.500
[t=564000.0s] a=8158.50, goal=8230.68, Fs=0.2951, reward=-286.218
[t=576000.0s] a=8163.47, goal=8230.68, Fs=-0.1211, reward=-298.721
[t=588000.0s] a=8171.11, goal=8230.68, Fs=0.4078, reward=-296.957
[t=600000.0s] a=8181.68, goal=8230.68, Fs=0.8084, reward=-301.901
[t=612000.0s] a=8174.95, goal=8230.68, Fs=-0.0708, reward=-315.573
[t=624000.0s] a=8184.57, goal=8230.68, Fs=1.0000, reward=-313.611
[t=636000.0s] a=8184.70, goal=8230.68, Fs=-0.6193, reward=-326.598
[t=648000.0s] a=8198.28, goal=8230.68, Fs=-0.7250, reward=-331.240
[t=660000.0s] a=8208.18, goal=8230.68, Fs=0.0653, reward=-329.251
[t=672000.0s] a=8232.77, goal=8230.68, Fs=0.3786, reward=-337.209
 SUCCESS #5 of #7 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7532.97, goal=7779.03, Fs=-1.0000, reward=-84.606
[t=24000.0s] a=7562.85, goal=7779.03, Fs=1.0000, reward=-30.618
[t=36000.0s] a=7576.45, goal=7779.03, Fs=0.8954, reward=-35.258
[t=48000.0s] a=7588.46, goal=7779.03, Fs=-0.1513, reward=-47.057
[t=60000.0s] a=7607.05, goal=7779.03, Fs=-0.3448, reward=-51.198
[t=72000.0s] a=7623.11, goal=7779.03, Fs=0.5461, reward=-48.592
[t=84000.0s] a=7640.09, goal=7779.03, Fs=-1.0000, reward=-59.894
[t=96000.0s] a=7662.60, goal=7779.03, Fs=1.0000, reward=-56.643
[t=108000.0s] a=7670.67, goal=7779.03, Fs=0.9284, reward=-61.835
[t=120000.0s] a=7690.01, goal=7779.03, Fs=1.0000, reward=-65.902
[t=132000.0s] a=7688.04, goal=7779.03, Fs=-0.3212, reward=-79.099
[t=144000.0s] a=7693.11, goal=7779.03, Fs=1.0000, reward=-77.592
[t=156000.0s] a=7694.21, goal=7779.03, Fs=-1.0000, reward=-90.482
[t=168000.0s] a=7697.57, goal=7779.03, Fs=-0.9049, reward=-96.146
[t=180000.0s] a=7691.23, goal=7779.03, Fs=0.0710, reward=-95.780
[t=192000.0s] a=7687.07, goal=7779.03, Fs=-0.5238, reward=-109.196
[t=204000.0s] a=7695.45, goal=7779.03, Fs=1.0000, reward=-107.358
[t=216000.0s] a=7696.12, goal=7779.03, Fs=-1.0000, reward=-120.290
[t=228000.0s] a=7705.97, goal=7779.03, Fs=1.0000, reward=-118.306
[t=240000.0s] a=7710.80, goal=7779.03, Fs=0.8024, reward=-123.823
[t=252000.0s] a=7708.29, goal=7779.03, Fs=1.0000, reward=-130.073
[t=264000.0s] a=7707.76, goal=7779.03, Fs=-1.0000, reward=-143.127
[t=276000.0s] a=7712.23, goal=7779.03, Fs=0.8609, reward=-141.680
[t=288000.0s] a=7711.47, goal=7779.03, Fs=0.3504, reward=-147.756
[t=300000.0s] a=7704.54, goal=7779.03, Fs=-1.0000, reward=-161.449
[t=312000.0s] a=7702.45, goal=7779.03, Fs=-0.0891, reward=-167.657
[t=324000.0s] a=7692.38, goal=7779.03, Fs=0.7311, reward=-167.665
[t=336000.0s] a=7680.52, goal=7779.03, Fs=0.4298, reward=-174.851
[t=348000.0s] a=7678.80, goal=7779.03, Fs=-0.1450, reward=-188.023
[t=360000.0s] a=7671.94, goal=7779.03, Fs=-0.6723, reward=-194.708
[t=372000.0s] a=7671.06, goal=7779.03, Fs=-0.1804, reward=-200.797
[t=384000.0s] a=7675.17, goal=7779.03, Fs=-1.0000, reward=-206.386
[t=396000.0s] a=7679.33, goal=7779.03, Fs=0.3151, reward=-204.970
[t=408000.0s] a=7683.92, goal=7779.03, Fs=0.8171, reward=-210.511
[t=420000.0s] a=7674.39, goal=7779.03, Fs=-1.0000, reward=-224.464
[t=432000.0s] a=7678.31, goal=7779.03, Fs=-1.0000, reward=-230.071
[t=444000.0s] a=7686.77, goal=7779.03, Fs=-1.0000, reward=-235.226
[t=456000.0s] a=7681.69, goal=7779.03, Fs=-0.8561, reward=-241.734
[t=468000.0s] a=7674.77, goal=7779.03, Fs=-1.0000, reward=-248.426
[t=480000.0s] a=7670.14, goal=7779.03, Fs=-0.7935, reward=-254.888
[t=492000.0s] a=7674.39, goal=7779.03, Fs=-0.1486, reward=-260.463
[t=504000.0s] a=7684.48, goal=7779.03, Fs=0.0860, reward=-258.455
[t=516000.0s] a=7667.25, goal=7779.03, Fs=-1.0000, reward=-273.178
[t=528000.0s] a=7664.36, goal=7779.03, Fs=1.0000, reward=-272.467
[t=540000.0s] a=7659.46, goal=7779.03, Fs=-1.0000, reward=-285.957
[t=552000.0s] a=7671.03, goal=7779.03, Fs=-1.0000, reward=-290.800
[t=564000.0s] a=7674.29, goal=7779.03, Fs=-1.0000, reward=-296.474
[t=576000.0s] a=7685.67, goal=7779.03, Fs=0.9679, reward=-294.336
[t=588000.0s] a=7675.83, goal=7779.03, Fs=-0.4633, reward=-308.320
[t=600000.0s] a=7681.00, goal=7779.03, Fs=0.8967, reward=-306.803
[t=612000.0s] a=7690.01, goal=7779.03, Fs=-0.9307, reward=-318.902
[t=624000.0s] a=7687.79, goal=7779.03, Fs=0.3470, reward=-318.124
[t=636000.0s] a=7692.40, goal=7779.03, Fs=-1.0000, reward=-330.663
[t=648000.0s] a=7701.67, goal=7779.03, Fs=0.3610, reward=-328.736
