
 ------------------------------------------------- 
[t=816000.0s] a=7876.97, goal=7909.65, Fs=0.0096, reward=-136.413
[t=828000.0s] a=7880.96, goal=7909.65, Fs=0.0205, reward=-138.177
[t=840000.0s] a=7884.44, goal=7909.65, Fs=0.0509, reward=-140.284
[t=852000.0s] a=7888.23, goal=7909.65, Fs=0.0270, reward=-141.547
[t=864000.0s] a=7891.56, goal=7909.65, Fs=0.0309, reward=-143.273
 FAILURE #2 of #2 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8442.75, goal=8055.70, Fs=0.0390, reward=-95.290
[t=24000.0s] a=8443.72, goal=8055.70, Fs=-0.0059, reward=-39.891
[t=36000.0s] a=8444.90, goal=8055.70, Fs=0.0130, reward=-99.115
[t=48000.0s] a=8445.92, goal=8055.70, Fs=0.0161, reward=-101.264
[t=60000.0s] a=8446.82, goal=8055.70, Fs=0.0218, reward=-103.439
[t=72000.0s] a=8448.23, goal=8055.70, Fs=0.0065, reward=-105.350
[t=84000.0s] a=8449.09, goal=8055.70, Fs=0.0002, reward=-107.342
[t=96000.0s] a=8449.89, goal=8055.70, Fs=-0.0073, reward=-52.529
[t=108000.0s] a=8450.91, goal=8055.70, Fs=0.0339, reward=-112.030
[t=120000.0s] a=8452.04, goal=8055.70, Fs=-0.0078, reward=-56.751
[t=132000.0s] a=8453.31, goal=8055.70, Fs=0.0316, reward=-116.235
[t=144000.0s] a=8454.25, goal=8055.70, Fs=-0.0147, reward=-61.075
[t=156000.0s] a=8455.08, goal=8055.70, Fs=-0.0195, reward=-63.230
[t=168000.0s] a=8456.27, goal=8055.70, Fs=0.0069, reward=-122.160
[t=180000.0s] a=8457.38, goal=8055.70, Fs=0.0285, reward=-124.595
[t=192000.0s] a=8458.20, goal=8055.70, Fs=0.0013, reward=-126.270
[t=204000.0s] a=8459.46, goal=8055.70, Fs=0.0191, reward=-128.662
[t=216000.0s] a=8460.11, goal=8055.70, Fs=-0.0369, reward=-73.995
[t=228000.0s] a=8460.80, goal=8055.70, Fs=0.0280, reward=-132.930
[t=240000.0s] a=8461.71, goal=8055.70, Fs=0.0048, reward=-134.672
[t=252000.0s] a=8462.55, goal=8055.70, Fs=-0.0072, reward=-79.793
[t=264000.0s] a=8463.78, goal=8055.70, Fs=-0.0024, reward=-81.844
[t=276000.0s] a=8464.53, goal=8055.70, Fs=0.0132, reward=-141.081
[t=288000.0s] a=8465.64, goal=8055.70, Fs=0.0028, reward=-143.036
[t=300000.0s] a=8466.49, goal=8055.70, Fs=0.0177, reward=-145.344
[t=312000.0s] a=8467.43, goal=8055.70, Fs=0.0427, reward=-147.813
[t=324000.0s] a=8468.19, goal=8055.70, Fs=0.0031, reward=-149.296
[t=336000.0s] a=8469.08, goal=8055.70, Fs=-0.0043, reward=-94.402
[t=348000.0s] a=8469.95, goal=8055.70, Fs=-0.0181, reward=-96.697
[t=360000.0s] a=8470.93, goal=8055.70, Fs=-0.0141, reward=-98.734
[t=372000.0s] a=8471.74, goal=8055.70, Fs=-0.0072, reward=-100.712
[t=384000.0s] a=8472.99, goal=8055.70, Fs=-0.0013, reward=-102.748
[t=396000.0s] a=8473.80, goal=8055.70, Fs=0.0423, reward=-162.444
[t=408000.0s] a=8474.63, goal=8055.70, Fs=0.0090, reward=-164.028
[t=420000.0s] a=8475.41, goal=8055.70, Fs=0.0077, reward=-166.086
[t=432000.0s] a=8475.84, goal=8055.70, Fs=0.0171, reward=-168.271
[t=444000.0s] a=8476.88, goal=8055.70, Fs=0.0175, reward=-170.381
[t=456000.0s] a=8477.32, goal=8055.70, Fs=0.0034, reward=-172.212
[t=468000.0s] a=8478.44, goal=8055.70, Fs=-0.0158, reward=-117.511
[t=480000.0s] a=8479.20, goal=8055.70, Fs=0.0108, reward=-176.512
[t=492000.0s] a=8480.34, goal=8055.70, Fs=0.0189, reward=-178.747
[t=504000.0s] a=8481.47, goal=8055.70, Fs=0.0166, reward=-180.826
[t=516000.0s] a=8482.17, goal=8055.70, Fs=0.0045, reward=-182.714
[t=528000.0s] a=8483.28, goal=8055.70, Fs=-0.0011, reward=-127.775
[t=540000.0s] a=8483.90, goal=8055.70, Fs=0.0231, reward=-187.165
[t=552000.0s] a=8484.91, goal=8055.70, Fs=-0.0018, reward=-131.948
[t=564000.0s] a=8485.60, goal=8055.70, Fs=0.0277, reward=-191.405
[t=576000.0s] a=8486.39, goal=8055.70, Fs=0.0220, reward=-193.399
[t=588000.0s] a=8487.09, goal=8055.70, Fs=0.0007, reward=-195.149
[t=600000.0s] a=8487.73, goal=8055.70, Fs=0.0215, reward=-197.525
[t=612000.0s] a=8488.47, goal=8055.70, Fs=0.0124, reward=-199.463
[t=624000.0s] a=8489.00, goal=8055.70, Fs=0.0133, reward=-201.530
[t=636000.0s] a=8489.54, goal=8055.70, Fs=-0.0203, reward=-146.688
[t=648000.0s] a=8490.40, goal=8055.70, Fs=0.0195, reward=-205.762
[t=660000.0s] a=8491.02, goal=8055.70, Fs=0.0339, reward=-208.041
[t=672000.0s] a=8491.93, goal=8055.70, Fs=-0.0370, reward=-153.177
[t=684000.0s] a=8492.62, goal=8055.70, Fs=0.0134, reward=-211.893
[t=696000.0s] a=8493.21, goal=8055.70, Fs=-0.0207, reward=-157.061
[t=708000.0s] a=8494.25, goal=8055.70, Fs=-0.0048, reward=-158.927
[t=720000.0s] a=8495.01, goal=8055.70, Fs=-0.0157, reward=-161.165
[t=732000.0s] a=8496.14, goal=8055.70, Fs=-0.0030, reward=-163.089
[t=744000.0s] a=8496.61, goal=8055.70, Fs=0.0071, reward=-222.197
[t=756000.0s] a=8497.66, goal=8055.70, Fs=-0.0148, reward=-167.417
[t=768000.0s] a=8497.99, goal=8055.70, Fs=0.0161, reward=-226.471
[t=780000.0s] a=8498.34, goal=8055.70, Fs=0.0256, reward=-228.648
[t=792000.0s] a=8499.00, goal=8055.70, Fs=0.0074, reward=-230.441
[t=804000.0s] a=8499.73, goal=8055.70, Fs=0.0112, reward=-232.571
[t=816000.0s] a=8500.32, goal=8055.70, Fs=0.0136, reward=-234.666
[t=828000.0s] a=8501.26, goal=8055.70, Fs=0.0328, reward=-237.048
[t=840000.0s] a=8502.05, goal=8055.70, Fs=-0.0214, reward=-181.956
[t=852000.0s] a=8502.97, goal=8055.70, Fs=-0.0019, reward=-183.755
[t=864000.0s] a=8503.75, goal=8055.70, Fs=-0.0187, reward=-186.086
 FAILURE #3 of #3 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7617.91, goal=7917.69, Fs=0.0844, reward=-30.243
[t=24000.0s] a=7623.26, goal=7917.69, Fs=0.0506, reward=-31.202
[t=36000.0s] a=7628.59, goal=7917.69, Fs=0.0555, reward=-32.742
[t=48000.0s] a=7633.79, goal=7917.69, Fs=0.0330, reward=-33.884
[t=60000.0s] a=7639.00, goal=7917.69, Fs=0.0318, reward=-35.346
[t=72000.0s] a=7643.95, goal=7917.69, Fs=0.0635, reward=-37.325
[t=84000.0s] a=7649.02, goal=7917.69, Fs=0.0624, reward=-38.802
[t=96000.0s] a=7654.53, goal=7917.69, Fs=0.0196, reward=-39.610
[t=108000.0s] a=7659.80, goal=7917.69, Fs=0.0309, reward=-41.252
[t=120000.0s] a=7665.18, goal=7917.69, Fs=0.0713, reward=-43.320
[t=132000.0s] a=7670.28, goal=7917.69, Fs=0.0600, reward=-44.640
[t=144000.0s] a=7675.68, goal=7917.69, Fs=0.0270, reward=-45.605
[t=156000.0s] a=7680.99, goal=7917.69, Fs=0.0483, reward=-47.395
[t=168000.0s] a=7686.06, goal=7917.69, Fs=-0.0075, reward=-105.274
[t=180000.0s] a=7691.34, goal=7917.69, Fs=0.0246, reward=-50.003
[t=192000.0s] a=7696.28, goal=7917.69, Fs=0.0311, reward=-51.607
[t=204000.0s] a=7701.03, goal=7917.69, Fs=0.0576, reward=-53.530
[t=216000.0s] a=7706.07, goal=7917.69, Fs=0.0228, reward=-54.503
[t=228000.0s] a=7711.20, goal=7917.69, Fs=0.0377, reward=-56.215
[t=240000.0s] a=7716.04, goal=7917.69, Fs=0.0285, reward=-57.592
[t=252000.0s] a=7720.90, goal=7917.69, Fs=0.0596, reward=-59.573
[t=264000.0s] a=7725.65, goal=7917.69, Fs=0.0534, reward=-61.005
[t=276000.0s] a=7730.24, goal=7917.69, Fs=0.0375, reward=-62.308
[t=288000.0s] a=7734.95, goal=7917.69, Fs=0.0542, reward=-64.087
