
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=132000.0s] a=8500, e=0.0100, i=45.63deg, goal_i=36.45deg, Fw=-0.4533, reward=128.903
[t=144000.0s] a=8500, e=0.0100, i=45.66deg, goal_i=36.45deg, Fw=0.0925, reward=-69.676
[t=156000.0s] a=8500, e=0.0100, i=45.66deg, goal_i=36.45deg, Fw=-0.5473, reward=128.000
[t=168000.0s] a=8500, e=0.0100, i=45.66deg, goal_i=36.45deg, Fw=0.1093, reward=-69.817
[t=180000.0s] a=8500, e=0.0100, i=45.65deg, goal_i=36.45deg, Fw=-0.4722, reward=-71.419
[t=192000.0s] a=8500, e=0.0100, i=45.67deg, goal_i=36.45deg, Fw=-1.0000, reward=-235.373
[t=204000.0s] a=8500, e=0.0100, i=45.69deg, goal_i=36.45deg, Fw=1.0000, reward=-74.569
[t=216000.0s] a=8500, e=0.0100, i=45.68deg, goal_i=36.45deg, Fw=-0.7089, reward=126.947
[t=228000.0s] a=8500, e=0.0100, i=45.68deg, goal_i=36.45deg, Fw=1.0000, reward=125.580
[t=240000.0s] a=8500, e=0.0100, i=45.69deg, goal_i=36.45deg, Fw=-0.8830, reward=125.952
[t=252000.0s] a=8500, e=0.0100, i=45.65deg, goal_i=36.45deg, Fw=0.8712, reward=126.566
[t=264000.0s] a=8500, e=0.0100, i=45.64deg, goal_i=36.45deg, Fw=-1.0000, reward=126.011
[t=276000.0s] a=8500, e=0.0100, i=45.65deg, goal_i=36.45deg, Fw=-1.0000, reward=-234.970
[t=288000.0s] a=8500, e=0.0100, i=45.63deg, goal_i=36.45deg, Fw=0.2985, reward=-230.771
[t=300000.0s] a=8500, e=0.0100, i=45.60deg, goal_i=36.45deg, Fw=0.5427, reward=128.697
[t=312000.0s] a=8500, e=0.0100, i=45.58deg, goal_i=36.45deg, Fw=0.7027, reward=-231.317
[t=324000.0s] a=8500, e=0.0100, i=45.56deg, goal_i=36.45deg, Fw=-0.3244, reward=-228.717
[t=336000.0s] a=8500, e=0.0100, i=45.56deg, goal_i=36.45deg, Fw=-0.0409, reward=-68.309
[t=348000.0s] a=8500, e=0.0100, i=45.55deg, goal_i=36.45deg, Fw=-0.4146, reward=-228.808
[t=360000.0s] a=8500, e=0.0100, i=45.54deg, goal_i=36.45deg, Fw=-0.6588, reward=-229.795
[t=372000.0s] a=8500, e=0.0100, i=45.52deg, goal_i=36.45deg, Fw=1.0000, reward=-230.946
[t=384000.0s] a=8500, e=0.0100, i=45.46deg, goal_i=36.45deg, Fw=-0.9228, reward=-228.954
[t=396000.0s] a=8500, e=0.0100, i=45.44deg, goal_i=36.45deg, Fw=-0.5356, reward=130.745
[t=408000.0s] a=8500, e=0.0100, i=45.38deg, goal_i=36.45deg, Fw=-0.0928, reward=-222.223
[t=420000.0s] a=8500, e=0.0100, i=45.39deg, goal_i=36.45deg, Fw=1.0000, reward=-227.152
[t=432000.0s] a=8500, e=0.0100, i=45.36deg, goal_i=36.45deg, Fw=-0.0808, reward=-221.651
[t=444000.0s] a=8500, e=0.0100, i=45.31deg, goal_i=36.45deg, Fw=0.3957, reward=-221.877
[t=456000.0s] a=8500, e=0.0100, i=45.28deg, goal_i=36.45deg, Fw=-0.4080, reward=-220.895
[t=468000.0s] a=8500, e=0.0100, i=45.24deg, goal_i=36.45deg, Fw=-1.0000, reward=130.704
[t=480000.0s] a=8500, e=0.0100, i=45.21deg, goal_i=36.45deg, Fw=-1.0000, reward=-221.875
[t=492000.0s] a=8500, e=0.0100, i=45.15deg, goal_i=36.45deg, Fw=0.3420, reward=-216.744
[t=504000.0s] a=8500, e=0.0100, i=45.09deg, goal_i=36.45deg, Fw=0.3556, reward=-64.199
[t=516000.0s] a=8500, e=0.0100, i=45.05deg, goal_i=36.45deg, Fw=1.0000, reward=-67.042
[t=528000.0s] a=8500, e=0.0100, i=45.01deg, goal_i=36.45deg, Fw=1.0000, reward=-215.936
[t=540000.0s] a=8500, e=0.0100, i=44.95deg, goal_i=36.45deg, Fw=0.7588, reward=135.401
[t=552000.0s] a=8500, e=0.0100, i=44.91deg, goal_i=36.45deg, Fw=0.2569, reward=-209.294
