
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=180000.0s], i=49.20deg, goal_i=42.07deg, Fw=-1.0000, delta_i = -1.4808844489011541e-05, term = 2677.8667727370516, reward=150.057
[t=192000.0s], i=49.20deg, goal_i=42.07deg, Fw=1.0000, delta_i = -5.550920725405639e-06, term = -874.2493459032821, reward=-49.902
[t=204000.0s], i=49.16deg, goal_i=42.07deg, Fw=0.9638, delta_i = -6.070257404844348e-06, term = -1426.2345541498985, reward=-49.342
[t=216000.0s], i=49.16deg, goal_i=42.07deg, Fw=-0.8735, delta_i = -1.3306466688844942e-05, term = 3146.2201171521074, reward=151.094
[t=228000.0s], i=49.19deg, goal_i=42.07deg, Fw=1.0000, delta_i = -2.5929664140167397e-05, term = -5196.543490510194, reward=150.144
[t=240000.0s], i=49.21deg, goal_i=42.07deg, Fw=-1.0000, delta_i = -3.255652787426122e-05, term = 6451.042810321423, reward=149.959
[t=252000.0s], i=49.22deg, goal_i=42.07deg, Fw=-0.9611, delta_i = 3.802398005614549e-05, term = -7765.613391457498, reward=-174.838
[t=264000.0s], i=49.24deg, goal_i=42.07deg, Fw=0.5701, delta_i = 2.4112467297277007e-05, term = 8251.834599220714, reward=-173.603
[t=276000.0s], i=49.20deg, goal_i=42.07deg, Fw=-1.0000, delta_i = 4.410341574190291e-05, term = -8550.32128678926, reward=-174.671
[t=288000.0s], i=49.22deg, goal_i=42.07deg, Fw=0.0823, delta_i = 3.462334511761256e-06, term = 8112.2059877382135, reward=-170.364
[t=300000.0s], i=49.23deg, goal_i=42.07deg, Fw=1.0000, delta_i = -3.865050233298195e-05, term = -7398.910485347824, reward=149.726
[t=312000.0s], i=49.22deg, goal_i=42.07deg, Fw=0.7008, delta_i = 2.2353064725089133e-05, term = 6046.313996372407, reward=-173.604
[t=324000.0s], i=49.22deg, goal_i=42.07deg, Fw=1.0000, delta_i = -2.4477349335860765e-05, term = -4578.299776728053, reward=149.772
[t=336000.0s], i=49.19deg, goal_i=42.07deg, Fw=0.3100, delta_i = 4.370924842622692e-06, term = 2538.9643020183616, reward=-170.772
[t=348000.0s], i=49.18deg, goal_i=42.07deg, Fw=-0.2578, delta_i = 1.2419700645693865e-06, term = -731.6568676301976, reward=-170.129
[t=360000.0s], i=49.16deg, goal_i=42.07deg, Fw=0.3744, delta_i = -2.6313635264063606e-06, term = -1567.3749312485415, reward=-46.413
[t=372000.0s], i=49.17deg, goal_i=42.07deg, Fw=-0.9319, delta_i = -1.483479575914437e-05, term = 3277.8309568290383, reward=150.658
[t=384000.0s], i=49.17deg, goal_i=42.07deg, Fw=-0.1757, delta_i = 4.661431712738029e-06, term = -5310.332390391891, reward=-169.594
[t=396000.0s], i=49.16deg, goal_i=42.07deg, Fw=-1.0000, delta_i = -3.30310024024838e-05, term = 6540.535148722558, reward=150.425
[t=408000.0s], i=49.15deg, goal_i=42.07deg, Fw=0.4014, delta_i = -1.6006562916670575e-05, term = -7823.039093848211, reward=153.497
[t=420000.0s], i=49.19deg, goal_i=42.07deg, Fw=-0.1871, delta_i = -7.94270366433203e-06, term = 8280.175887154368, reward=-45.858
[t=432000.0s], i=49.17deg, goal_i=42.07deg, Fw=-1.0000, delta_i = 4.4081241773685775e-05, term = -8542.748275945438, reward=-173.662
[t=444000.0s], i=49.18deg, goal_i=42.07deg, Fw=-0.8139, delta_i = -3.4102394260271396e-05, term = 8072.604288122892, reward=151.168
[t=456000.0s], i=49.18deg, goal_i=42.07deg, Fw=-0.1628, delta_i = 6.234278004613181e-06, term = -7328.806939954586, reward=-169.714
[t=468000.0s], i=49.17deg, goal_i=42.07deg, Fw=0.1709, delta_i = 5.3707077789511e-06, term = 5951.753984840973, reward=-169.391
[t=480000.0s], i=49.15deg, goal_i=42.07deg, Fw=-0.2877, delta_i = 6.880576512102721e-06, term = -4467.428000855063, reward=-169.574
[t=492000.0s], i=49.15deg, goal_i=42.07deg, Fw=-1.0000, delta_i = -1.345841031374917e-05, term = 2413.706933519458, reward=150.573
[t=504000.0s], i=49.15deg, goal_i=42.07deg, Fw=-1.0000, delta_i = 4.142016637342927e-06, term = -600.553343765304, reward=-172.954
[t=516000.0s], i=49.19deg, goal_i=42.07deg, Fw=1.0000, delta_i = -7.748728720669007e-06, term = -1706.5233631796839, reward=-49.917
[t=528000.0s], i=49.18deg, goal_i=42.07deg, Fw=-0.0633, delta_i = -1.0497729114877785e-06, term = 3406.458242452132, reward=-45.083
[t=540000.0s], i=49.15deg, goal_i=42.07deg, Fw=-0.7836, delta_i = 2.1231594759751893e-05, term = -5418.809799596567, reward=-172.015
[t=552000.0s], i=49.17deg, goal_i=42.07deg, Fw=1.0000, delta_i = 3.348165839045514e-05, term = 6625.582042419286, reward=-173.673
[t=564000.0s], i=49.16deg, goal_i=42.07deg, Fw=-0.8643, delta_i = 3.472699571183124e-05, term = -7878.414005366262, reward=-172.766
[t=576000.0s], i=49.15deg, goal_i=42.07deg, Fw=-1.0000, delta_i = -4.259935284112171e-05, term = 8304.848095002524, reward=150.496
[t=588000.0s], i=49.15deg, goal_i=42.07deg, Fw=-1.0000, delta_i = 4.404683003800258e-05, term = -8532.734018196183, reward=-173.245
[t=600000.0s], i=49.14deg, goal_i=42.07deg, Fw=0.7240, delta_i = 3.0191142054825093e-05, term = 8030.39504107548, reward=-171.626
[t=612000.0s], i=49.18deg, goal_i=42.07deg, Fw=-0.4209, delta_i = 1.5971688214100332e-05, term = -7257.096890891194, reward=-171.134
[t=624000.0s], i=49.17deg, goal_i=42.07deg, Fw=0.2609, delta_i = 8.066344203472298e-06, term = 5852.734134975552, reward=-169.961
[t=636000.0s], i=49.18deg, goal_i=42.07deg, Fw=0.1090, delta_i = -2.5423124945245235e-06, term = -4351.041898245743, reward=-45.416
[t=648000.0s], i=49.20deg, goal_i=42.07deg, Fw=-0.5772, delta_i = -7.374031175011453e-06, term = 2280.479463388761, reward=-47.996
[t=660000.0s], i=49.22deg, goal_i=42.07deg, Fw=-1.0000, delta_i = 3.442782064211336e-06, term = -464.6367496782588, reward=-175.231
[t=672000.0s], i=49.24deg, goal_i=42.07deg, Fw=-1.0000, delta_i = 8.407951011979442e-06, term = -1834.1153514304506, reward=-175.767
[t=684000.0s], i=49.27deg, goal_i=42.07deg, Fw=-0.2892, delta_i = -4.97387900322277e-06, term = 3523.5308981736653, reward=-47.285
[t=696000.0s], i=49.29deg, goal_i=42.07deg, Fw=1.0000, delta_i = -2.762508476761294e-05, term = -5519.3076929754025, reward=148.896
[t=708000.0s], i=49.28deg, goal_i=42.07deg, Fw=0.4033, delta_i = 1.3676860662337198e-05, term = 6707.01134171099, reward=-173.882
[t=720000.0s], i=49.29deg, goal_i=42.07deg, Fw=-1.0000, delta_i = 4.045243410943922e-05, term = -7928.821141855624, reward=-177.247
[t=732000.0s], i=49.28deg, goal_i=42.07deg, Fw=-1.0000, delta_i = -4.2735621323730655e-05, term = 8328.02710517897, reward=149.081
