
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=648000.0s] a=8500, e=0.0100, i=49.83deg, goal_i=43.53deg, Fw=-1.0000, reward=158.782
[t=660000.0s] a=8500, e=0.0100, i=49.86deg, goal_i=43.53deg, Fw=0.3416, reward=-38.210
[t=672000.0s] a=8500, e=0.0100, i=49.86deg, goal_i=43.53deg, Fw=-1.0000, reward=-151.964
[t=684000.0s] a=8500, e=0.0100, i=49.85deg, goal_i=43.53deg, Fw=-1.0000, reward=158.614
[t=696000.0s] a=8500, e=0.0100, i=49.87deg, goal_i=43.53deg, Fw=-1.0000, reward=-152.325
[t=708000.0s] a=8500, e=0.0100, i=49.87deg, goal_i=43.53deg, Fw=-1.0000, reward=158.438
[t=720000.0s] a=8500, e=0.0100, i=49.84deg, goal_i=43.53deg, Fw=-0.1644, reward=-147.406
[t=732000.0s] a=8500, e=0.0100, i=49.87deg, goal_i=43.53deg, Fw=0.9137, reward=-152.031
[t=744000.0s] a=8500, e=0.0100, i=49.89deg, goal_i=43.53deg, Fw=-1.0000, reward=-153.086
[t=756000.0s] a=8500, e=0.0100, i=49.88deg, goal_i=43.53deg, Fw=-0.3059, reward=161.788
[t=768000.0s] a=8500, e=0.0100, i=49.89deg, goal_i=43.53deg, Fw=-0.1794, reward=-148.760
[t=780000.0s] a=8500, e=0.0100, i=49.90deg, goal_i=43.53deg, Fw=-1.0000, reward=158.076
[t=792000.0s] a=8500, e=0.0100, i=49.91deg, goal_i=43.53deg, Fw=-0.3131, reward=-150.111
[t=804000.0s] a=8500, e=0.0100, i=49.91deg, goal_i=43.53deg, Fw=-1.0000, reward=157.944
[t=816000.0s] a=8500, e=0.0100, i=49.93deg, goal_i=43.53deg, Fw=1.0000, reward=-42.232
[t=828000.0s] a=8500, e=0.0100, i=49.92deg, goal_i=43.53deg, Fw=1.0000, reward=-42.128
[t=840000.0s] a=8500, e=0.0100, i=49.92deg, goal_i=43.53deg, Fw=-0.1322, reward=-37.820
[t=852000.0s] a=8500, e=0.0100, i=49.90deg, goal_i=43.53deg, Fw=-0.5001, reward=-150.819
[t=864000.0s] a=8500, e=0.0100, i=49.93deg, goal_i=43.53deg, Fw=0.9131, reward=-673.695
 FAILURE #6 of #7 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8500, e=0.0100, i=46.72deg, goal_i=47.43deg, Fw=0.0454, reward=6.880
[t=24000.0s] a=8500, e=0.0100, i=46.75deg, goal_i=47.43deg, Fw=0.0361, reward=19.355
[t=36000.0s] a=8500, e=0.0100, i=46.71deg, goal_i=47.43deg, Fw=-1.0000, reward=-5.517
[t=48000.0s] a=8500, e=0.0100, i=46.70deg, goal_i=47.43deg, Fw=1.0000, reward=-18.145
[t=60000.0s] a=8500, e=0.0100, i=46.72deg, goal_i=47.43deg, Fw=1.0000, reward=194.495
[t=72000.0s] a=8500, e=0.0100, i=46.72deg, goal_i=47.43deg, Fw=-1.0000, reward=194.494
[t=84000.0s] a=8500, e=0.0100, i=46.71deg, goal_i=47.43deg, Fw=1.0000, reward=194.482
[t=96000.0s] a=8500, e=0.0100, i=46.68deg, goal_i=47.43deg, Fw=-0.6483, reward=196.192
[t=108000.0s] a=8500, e=0.0100, i=46.70deg, goal_i=47.43deg, Fw=0.8971, reward=194.972
[t=120000.0s] a=8500, e=0.0100, i=46.68deg, goal_i=47.43deg, Fw=-1.0000, reward=194.425
[t=132000.0s] a=8500, e=0.0100, i=46.71deg, goal_i=47.43deg, Fw=1.0000, reward=194.469
[t=144000.0s] a=8500, e=0.0100, i=46.68deg, goal_i=47.43deg, Fw=1.0000, reward=-18.582
[t=156000.0s] a=8500, e=0.0100, i=46.72deg, goal_i=47.43deg, Fw=0.8965, reward=194.991
[t=168000.0s] a=8500, e=0.0100, i=46.68deg, goal_i=47.43deg, Fw=0.2050, reward=-14.530
[t=180000.0s] a=8500, e=0.0100, i=46.67deg, goal_i=47.43deg, Fw=0.2995, reward=-2.094
[t=192000.0s] a=8500, e=0.0100, i=46.70deg, goal_i=47.43deg, Fw=-0.8108, reward=-4.616
[t=204000.0s] a=8500, e=0.0100, i=46.68deg, goal_i=47.43deg, Fw=-1.0000, reward=-5.583
[t=216000.0s] a=8500, e=0.0100, i=46.68deg, goal_i=47.43deg, Fw=0.4491, reward=-2.835
[t=228000.0s] a=8500, e=0.0100, i=46.70deg, goal_i=47.43deg, Fw=1.0000, reward=-18.318
[t=240000.0s] a=8500, e=0.0100, i=46.69deg, goal_i=47.43deg, Fw=-1.0000, reward=-18.560
[t=252000.0s] a=8500, e=0.0100, i=46.67deg, goal_i=47.43deg, Fw=0.5970, reward=-16.834
[t=264000.0s] a=8500, e=0.0100, i=46.65deg, goal_i=47.43deg, Fw=1.0000, reward=194.361
