
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=1560000.0s], i=46.47deg, goal_i=44.15deg, Fw=1.0000, delta_i = 0.0004196117493500129, term = 7516.752345084513, reward=-413.283
[t=1680000.0s], i=46.14deg, goal_i=44.15deg, Fw=-0.8299, delta_i = 0.00032360204185255537, term = -8337.572980738925, reward=-335.762
[t=1800000.0s], i=46.20deg, goal_i=44.15deg, Fw=1.0000, delta_i = 0.00015090508145676473, term = 4766.780964899068, reward=-255.468
[t=1920000.0s], i=45.95deg, goal_i=44.15deg, Fw=-1.0000, delta_i = -0.0001419980075281213, term = 763.8506067989938, reward=-157.583
[t=2040000.0s], i=45.89deg, goal_i=44.15deg, Fw=0.9811, delta_i = -0.0003729507907205276, term = -6236.984944626648, reward=-151.758
[t=2160000.0s], i=45.67deg, goal_i=44.15deg, Fw=1.0000, delta_i = 0.0004214538490557862, term = 8434.287104159506, reward=-344.311
[t=2280000.0s], i=45.66deg, goal_i=44.15deg, Fw=0.8448, delta_i = -0.00022874826163132855, term = -6752.75733398418, reward=-131.411
[t=2400000.0s], i=46.09deg, goal_i=44.15deg, Fw=-1.0000, delta_i = 3.107161507631684e-05, term = 1422.3730407511734, reward=-185.475
[t=2520000.0s], i=46.09deg, goal_i=44.15deg, Fw=-1.0000, delta_i = -0.00029969614174629733, term = 4225.440139681298, reward=-169.323
 FAILURE #8 of #8 episodes

 ------------------------------------------------- 
[t=120000.0s], i=44.85deg, goal_i=41.51deg, Fw=1.0000, delta_i = -0.0003502432796216315, term = -7881.497889077476, reward=-292.436
[t=240000.0s], i=44.80deg, goal_i=41.51deg, Fw=-0.2011, delta_i = -1.6180064325799215e-05, term = 3516.409177100476, reward=-287.744
[t=360000.0s], i=44.93deg, goal_i=41.51deg, Fw=1.0000, delta_i = 0.00020723161172786497, term = 2145.3312788963103, reward=-403.659
[t=480000.0s], i=45.20deg, goal_i=41.51deg, Fw=-0.2906, delta_i = 0.00011913172383093418, term = -7102.139261519872, reward=-382.865
[t=600000.0s], i=45.10deg, goal_i=41.51deg, Fw=-0.1461, delta_i = -5.860133501756071e-05, term = 8368.74042562293, reward=-313.420
[t=720000.0s], i=45.21deg, goal_i=41.51deg, Fw=1.0000, delta_i = -0.00021234527780344958, term = -5824.598108677594, reward=-323.523
[t=840000.0s], i=45.16deg, goal_i=41.51deg, Fw=0.4046, delta_i = -3.9809581006688965e-05, term = 96.67426274602663, reward=-319.152
[t=960000.0s], i=45.20deg, goal_i=41.51deg, Fw=-0.5018, delta_i = -0.00017294855214822213, term = 5324.573692543048, reward=-322.644
[t=1080000.0s], i=45.13deg, goal_i=41.51deg, Fw=-0.5512, delta_i = 0.0002403976630052096, term = -8427.132052500332, reward=-436.710
[t=1200000.0s], i=44.91deg, goal_i=41.51deg, Fw=0.2351, delta_i = 7.059366940986855e-05, term = 7165.360823482322, reward=-332.489
[t=1320000.0s], i=44.73deg, goal_i=41.51deg, Fw=-0.5839, delta_i = 2.1290522991268546e-05, term = -2735.5784436575045, reward=-292.340
[t=1440000.0s], i=44.80deg, goal_i=41.51deg, Fw=-1.0000, delta_i = 0.0002645422449373269, term = -3428.1596759690115, reward=-420.515
[t=1560000.0s], i=44.92deg, goal_i=41.51deg, Fw=-0.7571, delta_i = -0.0003188289925694088, term = 7578.411349738584, reward=-298.321
[t=1680000.0s], i=45.00deg, goal_i=41.51deg, Fw=-0.7403, delta_i = 0.0002856790496810202, term = -8297.521862034857, reward=-448.231
[t=1800000.0s], i=44.78deg, goal_i=41.51deg, Fw=0.2793, delta_i = 4.0670023840116976e-05, term = 4674.475754430206, reward=-306.701
[t=1920000.0s], i=44.66deg, goal_i=41.51deg, Fw=0.1598, delta_i = 2.3493436053567684e-05, term = 869.5689381437912, reward=-287.721
[t=2040000.0s], i=44.48deg, goal_i=41.51deg, Fw=1.0000, delta_i = -0.0003835378669317935, term = -6329.6112665719775, reward=-259.782
[t=2160000.0s], i=44.64deg, goal_i=41.51deg, Fw=0.8775, delta_i = 0.0003689300938634066, term = 8436.470115928942, reward=-458.405
[t=2280000.0s], i=44.53deg, goal_i=41.51deg, Fw=0.0825, delta_i = -2.2180244222402834e-05, term = -6721.934970788982, reward=-263.470
[t=2400000.0s], i=44.39deg, goal_i=41.51deg, Fw=1.0000, delta_i = -3.4445238125013766e-05, term = 1360.7542259529555, reward=-251.926
[t=2520000.0s], i=44.06deg, goal_i=41.51deg, Fw=1.0000, delta_i = 0.0003023507552234461, term = 4290.612315948997, reward=-374.758
 FAILURE #9 of #9 episodes

 ------------------------------------------------- 
[t=120000.0s], i=45.31deg, goal_i=41.27deg, Fw=0.2107, delta_i = -7.365837712358658e-05, term = -7873.073628386185, reward=-352.443
[t=240000.0s], i=45.33deg, goal_i=41.27deg, Fw=0.2041, delta_i = 1.6675716199010537e-05, term = 3539.235238112161, reward=-363.262
[t=360000.0s], i=45.01deg, goal_i=41.27deg, Fw=0.3865, delta_i = 7.998898174799152e-05, term = 2138.2923673012397, reward=-366.600
[t=480000.0s], i=45.05deg, goal_i=41.27deg, Fw=-0.4767, delta_i = 0.00019547530531849322, term = -7104.547029939463, reward=-427.764
[t=600000.0s], i=45.13deg, goal_i=41.27deg, Fw=0.9312, delta_i = 0.00037441237961566287, term = 8376.17926123038, reward=-524.369
[t=720000.0s], i=45.52deg, goal_i=41.27deg, Fw=-0.0723, delta_i = 1.553342406057645e-05, term = -5867.485140395712, reward=-378.509
[t=840000.0s], i=45.59deg, goal_i=41.27deg, Fw=-1.0000, delta_i = 9.74338841764899e-05, term = 113.45076296766406, reward=-426.198
[t=960000.0s], i=45.52deg, goal_i=41.27deg, Fw=0.7051, delta_i = 0.00024241656048018534, term = 5303.099247063536, reward=-492.218
[t=1080000.0s], i=45.66deg, goal_i=41.27deg, Fw=-0.8121, delta_i = 0.0003542420076726449, term = -8422.012149894608, reward=-561.077
[t=1200000.0s], i=45.70deg, goal_i=41.27deg, Fw=-0.5187, delta_i = -0.00015747685751887897, term = 7213.606311819519, reward=-386.484
[t=1320000.0s], i=45.44deg, goal_i=41.27deg, Fw=-0.0567, delta_i = 2.4941637176700837e-06, term = -2874.3661411233675, reward=-365.389
[t=1440000.0s], i=45.34deg, goal_i=41.27deg, Fw=-0.1667, delta_i = 4.3017082025698095e-05, term = -3281.129503540859, reward=-376.507
[t=1560000.0s], i=45.14deg, goal_i=41.27deg, Fw=-0.9493, delta_i = -0.00039873642772569884, term = 7533.090269103619, reward=-337.814
[t=1680000.0s], i=45.13deg, goal_i=41.27deg, Fw=1.0000, delta_i = -0.00038807496123116625, term = -8318.933505076004, reward=-336.909
[t=1800000.0s], i=44.73deg, goal_i=41.27deg, Fw=-0.3804, delta_i = -5.7333781999457933e-05, term = 4761.457767927201, reward=-301.834
[t=1920000.0s], i=44.89deg, goal_i=41.27deg, Fw=-1.0000, delta_i = -0.00013911054556303704, term = 704.0552596996957, reward=-315.819
[t=2040000.0s], i=45.20deg, goal_i=41.27deg, Fw=0.2758, delta_i = -0.00010436244452416421, term = -6190.824197339793, reward=-342.779
[t=2160000.0s], i=45.03deg, goal_i=41.27deg, Fw=0.8578, delta_i = 0.00036203903167597584, term = 8432.461527162368, reward=-509.294
[t=2280000.0s], i=45.16deg, goal_i=41.27deg, Fw=0.8480, delta_i = -0.0002342725066456497, term = -6836.322760129041, reward=-339.621
[t=2400000.0s], i=45.03deg, goal_i=41.27deg, Fw=0.5635, delta_i = -1.30421824614535e-05, term = 1578.0764965550907, reward=-327.924
[t=2520000.0s], i=44.90deg, goal_i=41.27deg, Fw=0.1701, delta_i = 4.9815703414668455e-05, term = 4064.5744775357584, reward=-342.203
 FAILURE #10 of #10 episodes

 ------------------------------------------------- 
[t=120000.0s], i=45.46deg, goal_i=47.02deg, Fw=1.0000, delta_i = -0.0003497799862469675, term = -7875.6133493917105, reward=-311.687
[t=240000.0s], i=45.72deg, goal_i=47.02deg, Fw=1.0000, delta_i = 8.060222500616554e-05, term = 3520.7293469363226, reward=-113.561
[t=360000.0s], i=45.69deg, goal_i=47.02deg, Fw=-0.0073, delta_i = -1.5118918117451585e-06, term = 2151.1021700788565, reward=-115.948
[t=480000.0s], i=45.49deg, goal_i=47.02deg, Fw=-1.0000, delta_i = 0.0004101657819214344, term = -7108.468984273756, reward=-132.959
[t=600000.0s], i=45.48deg, goal_i=47.02deg, Fw=0.0141, delta_i = 5.645953737754006e-06, term = 8373.542194821925, reward=-133.923
[t=720000.0s], i=45.46deg, goal_i=47.02deg, Fw=-0.4233, delta_i = 9.071885123856926e-05, term = -5858.729845632447, reward=-135.943
[t=840000.0s], i=45.70deg, goal_i=47.02deg, Fw=-1.0000, delta_i = 0.00010023976173179072, term = 57.1317275103507, reward=-114.790
[t=960000.0s], i=45.67deg, goal_i=47.02deg, Fw=1.0000, delta_i = 0.00034615758863631996, term = 5363.444142685672, reward=-117.484
[t=1080000.0s], i=45.39deg, goal_i=47.02deg, Fw=0.0295, delta_i = -1.2842316114980434e-05, term = -8435.042838735557, reward=-148.482
[t=1200000.0s], i=45.56deg, goal_i=47.02deg, Fw=1.0000, delta_i = 0.00029883332765645587, term = 7145.5737449291155, reward=-127.638
[t=1320000.0s], i=45.62deg, goal_i=47.02deg, Fw=-0.0120, delta_i = 4.460588961530121e-07, term = -2749.0529501763244, reward=-121.555
[t=1440000.0s], i=45.58deg, goal_i=47.02deg, Fw=-1.0000, delta_i = 0.0002631735814178082, term = -3397.3434124878254, reward=-125.196
[t=1560000.0s], i=45.74deg, goal_i=47.02deg, Fw=-0.6073, delta_i = -0.0002555549182036154, term = 7566.158849196183, reward=-239.742
[t=1680000.0s], i=45.43deg, goal_i=47.02deg, Fw=-1.0000, delta_i = 0.00038673451591964003, term = -8305.966734768044, reward=-138.304
[t=1800000.0s], i=45.31deg, goal_i=47.02deg, Fw=-1.0000, delta_i = -0.00014770680165043792, term = 4708.670152068272, reward=-223.125
[t=1920000.0s], i=45.49deg, goal_i=47.02deg, Fw=0.5399, delta_i = 7.846130877908752e-05, term = 835.4378267831495, reward=-133.479
[t=2040000.0s], i=45.52deg, goal_i=47.02deg, Fw=-0.1849, delta_i = 7.082790536749872e-05, term = -6314.469408317178, reward=-130.578
[t=2160000.0s], i=45.22deg, goal_i=47.02deg, Fw=-1.0000, delta_i = -0.00042032621512932966, term = 8436.656752104642, reward=-367.937
[t=2280000.0s], i=45.38deg, goal_i=47.02deg, Fw=-0.7538, delta_i = 0.00020302091192625493, term = -6732.231177507846, reward=-142.600
[t=2400000.0s], i=45.44deg, goal_i=47.02deg, Fw=-0.0507, delta_i = 1.6732593985935296e-06, term = 1387.2806926512026, reward=-137.120
[t=2520000.0s], i=45.58deg, goal_i=47.02deg, Fw=0.3697, delta_i = 0.00011109876442383371, term = 4246.477765173512, reward=-124.853
 FAILURE #11 of #11 episodes

 ------------------------------------------------- 
[t=120000.0s], i=45.03deg, goal_i=42.68deg, Fw=-0.4333, delta_i = 0.00015177093307006118, term = -7882.860424569083, reward=-281.771
[t=240000.0s], i=44.97deg, goal_i=42.68deg, Fw=0.3738, delta_i = 2.9955373940904195e-05, term = 3511.4274115180447, reward=-215.506
[t=360000.0s], i=44.77deg, goal_i=42.68deg, Fw=-1.0000, delta_i = -0.00020952913116378813, term = 2192.059178831094, reward=-182.436
[t=480000.0s], i=44.85deg, goal_i=42.68deg, Fw=-1.0000, delta_i = 0.00041083186477441913, term = -7129.4166163522805, reward=-395.854
[t=600000.0s], i=44.67deg, goal_i=42.68deg, Fw=-0.3423, delta_i = -0.00013734088407879597, term = 8370.344052141281, reward=-173.279
[t=720000.0s], i=44.54deg, goal_i=42.68deg, Fw=0.4839, delta_i = -0.00010309408111086604, term = -5836.506946451693, reward=-162.685
