
 ------------------------------------------------- 
[t=816000.0s] a=7956.22, goal=8016.62, Fs=0.1799, reward=-684.840
[t=828000.0s] a=7961.10, goal=8016.62, Fs=1.0000, reward=-702.552
[t=840000.0s] a=7966.65, goal=8016.62, Fs=-1.0000, reward=-718.998
[t=852000.0s] a=7973.29, goal=8016.62, Fs=-1.0000, reward=-728.334
[t=864000.0s] a=7972.50, goal=8016.62, Fs=1.0000, reward=-731.412
 FAILURE #2 of #4 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8316.24, goal=7964.57, Fs=-1.0000, reward=-52.167
[t=24000.0s] a=8301.21, goal=7964.57, Fs=-1.0000, reward=-60.664
[t=36000.0s] a=8285.44, goal=7964.57, Fs=0.0736, reward=-116.823
[t=48000.0s] a=8265.33, goal=7964.57, Fs=-1.0000, reward=-77.075
[t=60000.0s] a=8263.79, goal=7964.57, Fs=1.0000, reward=-143.922
[t=72000.0s] a=8252.24, goal=7964.57, Fs=-0.2614, reward=-88.381
[t=84000.0s] a=8251.02, goal=7964.57, Fs=0.3716, reward=-156.361
[t=96000.0s] a=8236.78, goal=7964.57, Fs=0.2085, reward=-163.306
[t=108000.0s] a=8235.92, goal=7964.57, Fs=1.0000, reward=-181.135
[t=120000.0s] a=8235.18, goal=7964.57, Fs=-1.0000, reward=-134.061
[t=132000.0s] a=8229.85, goal=7964.57, Fs=0.3084, reward=-193.613
[t=144000.0s] a=8229.65, goal=7964.57, Fs=-1.0000, reward=-153.508
[t=156000.0s] a=8215.38, goal=7964.57, Fs=-0.8019, reward=-160.100
[t=168000.0s] a=8216.79, goal=7964.57, Fs=-0.5522, reward=-167.744
[t=180000.0s] a=8225.06, goal=7964.57, Fs=-0.4402, reward=-177.451
[t=192000.0s] a=8210.34, goal=7964.57, Fs=-1.0000, reward=-191.577
[t=204000.0s] a=8216.53, goal=7964.57, Fs=1.0000, reward=-259.196
[t=216000.0s] a=8224.83, goal=7964.57, Fs=1.0000, reward=-270.026
[t=228000.0s] a=8217.39, goal=7964.57, Fs=-0.5684, reward=-217.965
[t=240000.0s] a=8213.70, goal=7964.57, Fs=-1.0000, reward=-231.913
[t=252000.0s] a=8215.41, goal=7964.57, Fs=-0.0878, reward=-232.962
[t=264000.0s] a=8202.67, goal=7964.57, Fs=0.7144, reward=-304.953
[t=276000.0s] a=8197.51, goal=7964.57, Fs=0.3432, reward=-310.725
[t=288000.0s] a=8193.34, goal=7964.57, Fs=1.0000, reward=-326.877
[t=300000.0s] a=8172.05, goal=7964.57, Fs=-0.9957, reward=-277.705
[t=312000.0s] a=8163.19, goal=7964.57, Fs=-0.1040, reward=-277.902
[t=324000.0s] a=8164.15, goal=7964.57, Fs=-0.0586, reward=-287.544
[t=336000.0s] a=8146.90, goal=7964.57, Fs=-1.0000, reward=-305.233
[t=348000.0s] a=8130.12, goal=7964.57, Fs=0.4147, reward=-314.702
[t=360000.0s] a=8118.96, goal=7964.57, Fs=-0.7624, reward=-320.062
[t=372000.0s] a=8101.42, goal=7964.57, Fs=-0.7244, reward=-327.929
[t=384000.0s] a=8094.03, goal=7964.57, Fs=1.0000, reward=-346.946
[t=396000.0s] a=8086.12, goal=7964.57, Fs=0.6806, reward=-352.961
[t=408000.0s] a=8090.14, goal=7964.57, Fs=1.0000, reward=-366.556
[t=420000.0s] a=8073.42, goal=7964.57, Fs=1.0000, reward=-374.885
[t=432000.0s] a=8047.28, goal=7964.57, Fs=-1.0000, reward=-375.271
[t=444000.0s] a=8031.40, goal=7964.57, Fs=-1.0000, reward=-383.683
[t=456000.0s] a=8018.55, goal=7964.57, Fs=-1.0000, reward=-392.398
[t=468000.0s] a=8023.90, goal=7964.57, Fs=1.0000, reward=-409.933
[t=480000.0s] a=8027.19, goal=7964.57, Fs=-0.2995, reward=-406.257
[t=492000.0s] a=8014.24, goal=7964.57, Fs=-0.8966, reward=-420.933
[t=504000.0s] a=7999.67, goal=7964.57, Fs=-0.6801, reward=-427.311
[t=516000.0s] a=7990.85, goal=7964.57, Fs=-0.2783, reward=-432.411
[t=528000.0s] a=7983.90, goal=7964.57, Fs=0.0482, reward=-446.415
[t=540000.0s] a=7974.99, goal=7964.57, Fs=-0.6927, reward=-454.969
[t=552000.0s] a=7982.67, goal=7964.57, Fs=0.3177, reward=-468.987
[t=564000.0s] a=7998.15, goal=7964.57, Fs=0.7055, reward=-484.414
[t=576000.0s] a=8007.83, goal=7964.57, Fs=-0.3387, reward=-484.713
[t=588000.0s] a=8002.01, goal=7964.57, Fs=1.0000, reward=-507.744
[t=600000.0s] a=7996.88, goal=7964.57, Fs=0.4340, reward=-511.571
[t=612000.0s] a=8000.68, goal=7964.57, Fs=-0.9183, reward=-519.794
[t=624000.0s] a=8001.14, goal=7964.57, Fs=-0.7668, reward=-528.325
[t=636000.0s] a=8000.47, goal=7964.57, Fs=0.7218, reward=-544.808
[t=648000.0s] a=7988.44, goal=7964.57, Fs=0.5889, reward=-552.276
[t=660000.0s] a=7986.56, goal=7964.57, Fs=0.8967, reward=-565.166
[t=672000.0s] a=7991.33, goal=7964.57, Fs=-0.0504, reward=-560.179
[t=684000.0s] a=7982.17, goal=7964.57, Fs=0.6854, reward=-582.614
[t=696000.0s] a=7976.34, goal=7964.57, Fs=-0.8275, reward=-586.451
[t=708000.0s] a=7967.57, goal=7964.57, Fs=-0.5145, reward=-579.445
 SUCCESS #3 of #5 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7705.77, goal=8006.91, Fs=0.8644, reward=-45.759
[t=24000.0s] a=7717.72, goal=8006.91, Fs=0.5730, reward=-51.650
[t=36000.0s] a=7726.89, goal=8006.91, Fs=-0.1919, reward=-113.921
[t=48000.0s] a=7735.35, goal=8006.91, Fs=0.2011, reward=-66.168
[t=60000.0s] a=7755.04, goal=8006.91, Fs=-0.0378, reward=-129.566
[t=72000.0s] a=7750.44, goal=8006.91, Fs=1.0000, reward=-92.647
[t=84000.0s] a=7758.04, goal=8006.91, Fs=-0.2958, reward=-151.846
[t=96000.0s] a=7761.64, goal=8006.91, Fs=0.7285, reward=-108.813
[t=108000.0s] a=7764.89, goal=8006.91, Fs=-1.0000, reward=-178.202
[t=120000.0s] a=7776.71, goal=8006.91, Fs=-1.0000, reward=-187.021
[t=132000.0s] a=7773.04, goal=8006.91, Fs=0.7808, reward=-138.196
[t=144000.0s] a=7776.65, goal=8006.91, Fs=0.5362, reward=-145.388
[t=156000.0s] a=7782.90, goal=8006.91, Fs=0.3351, reward=-152.753
[t=168000.0s] a=7797.03, goal=8006.91, Fs=-0.9610, reward=-224.598
[t=180000.0s] a=7797.11, goal=8006.91, Fs=1.0000, reward=-177.980
[t=192000.0s] a=7799.15, goal=8006.91, Fs=-0.5115, reward=-239.892
[t=204000.0s] a=7795.47, goal=8006.91, Fs=0.7129, reward=-195.273
[t=216000.0s] a=7811.32, goal=8006.91, Fs=0.1400, reward=-197.960
[t=228000.0s] a=7824.01, goal=8006.91, Fs=-0.1316, reward=-213.607
[t=240000.0s] a=7848.28, goal=8006.91, Fs=1.0000, reward=-222.863
[t=252000.0s] a=7869.84, goal=8006.91, Fs=0.2361, reward=-223.068
[t=264000.0s] a=7871.22, goal=8006.91, Fs=-1.0000, reward=-247.570
[t=276000.0s] a=7871.98, goal=8006.91, Fs=-1.0000, reward=-257.493
[t=288000.0s] a=7884.98, goal=8006.91, Fs=1.0000, reward=-259.193
[t=300000.0s] a=7894.25, goal=8006.91, Fs=-0.6795, reward=-272.062
[t=312000.0s] a=7903.64, goal=8006.91, Fs=-1.0000, reward=-284.328
[t=324000.0s] a=7910.15, goal=8006.91, Fs=0.2592, reward=-279.268
[t=336000.0s] a=7919.26, goal=8006.91, Fs=-0.8170, reward=-300.936
[t=348000.0s] a=7931.53, goal=8006.91, Fs=0.4978, reward=-299.517
[t=360000.0s] a=7954.22, goal=8006.91, Fs=-0.4903, reward=-314.172
[t=372000.0s] a=7957.70, goal=8006.91, Fs=-0.1078, reward=-320.000
[t=384000.0s] a=7963.71, goal=8006.91, Fs=-0.7730, reward=-336.050
[t=396000.0s] a=7966.81, goal=8006.91, Fs=0.1965, reward=-332.975
[t=408000.0s] a=7965.20, goal=8006.91, Fs=0.2928, reward=-344.099
[t=420000.0s] a=7975.90, goal=8006.91, Fs=1.0000, reward=-360.101
[t=432000.0s] a=7981.64, goal=8006.91, Fs=-1.0000, reward=-376.527
[t=444000.0s] a=7983.50, goal=8006.91, Fs=-1.0000, reward=-386.341
[t=456000.0s] a=7979.46, goal=8006.91, Fs=-1.0000, reward=-396.746
[t=468000.0s] a=7987.98, goal=8006.91, Fs=1.0000, reward=-398.893
[t=480000.0s] a=7993.95, goal=8006.91, Fs=0.3043, reward=-401.339
 SUCCESS #4 of #6 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8438.75, goal=8218.53, Fs=0.2732, reward=-88.755
[t=24000.0s] a=8443.56, goal=8218.53, Fs=-0.1708, reward=-41.212
[t=36000.0s] a=8441.52, goal=8218.53, Fs=-1.0000, reward=-59.300
[t=48000.0s] a=8446.78, goal=8218.53, Fs=-1.0000, reward=-69.825
[t=60000.0s] a=8439.73, goal=8218.53, Fs=0.2152, reward=-128.273
[t=72000.0s] a=8443.41, goal=8218.53, Fs=0.5325, reward=-141.813
[t=84000.0s] a=8449.13, goal=8218.53, Fs=-1.0000, reward=-100.060
[t=96000.0s] a=8449.74, goal=8218.53, Fs=-0.8351, reward=-108.472
[t=108000.0s] a=8441.13, goal=8218.53, Fs=0.6092, reward=-172.352
[t=120000.0s] a=8446.35, goal=8218.53, Fs=0.3920, reward=-180.703
[t=132000.0s] a=8444.33, goal=8218.53, Fs=1.0000, reward=-196.580
[t=144000.0s] a=8438.61, goal=8218.53, Fs=-0.4174, reward=-143.183
[t=156000.0s] a=8442.40, goal=8218.53, Fs=-0.8332, reward=-157.719
[t=168000.0s] a=8435.30, goal=8218.53, Fs=-0.7429, reward=-166.106
[t=180000.0s] a=8427.30, goal=8218.53, Fs=-0.4190, reward=-172.068
[t=192000.0s] a=8422.23, goal=8218.53, Fs=0.1668, reward=-236.038
[t=204000.0s] a=8418.49, goal=8218.53, Fs=-1.0000, reward=-196.997
[t=216000.0s] a=8402.05, goal=8218.53, Fs=-0.5442, reward=-200.795
[t=228000.0s] a=8383.40, goal=8218.53, Fs=0.1427, reward=-211.914
[t=240000.0s] a=8395.27, goal=8218.53, Fs=0.8637, reward=-230.311
[t=252000.0s] a=8386.47, goal=8218.53, Fs=-0.4028, reward=-227.822
[t=264000.0s] a=8366.16, goal=8218.53, Fs=-0.2608, reward=-234.371
[t=276000.0s] a=8362.28, goal=8218.53, Fs=0.0321, reward=-248.696
[t=288000.0s] a=8361.65, goal=8218.53, Fs=-0.3301, reward=-254.613
[t=300000.0s] a=8352.52, goal=8218.53, Fs=-1.0000, reward=-270.399
[t=312000.0s] a=8347.25, goal=8218.53, Fs=-0.9089, reward=-278.961
[t=324000.0s] a=8328.67, goal=8218.53, Fs=1.0000, reward=-295.015
[t=336000.0s] a=8316.54, goal=8218.53, Fs=-1.0000, reward=-296.801
[t=348000.0s] a=8312.46, goal=8218.53, Fs=-1.0000, reward=-306.393
[t=360000.0s] a=8301.59, goal=8218.53, Fs=-1.0000, reward=-315.306
[t=372000.0s] a=8298.49, goal=8218.53, Fs=1.0000, reward=-331.996
[t=384000.0s] a=8288.69, goal=8218.53, Fs=-0.6812, reward=-330.828
[t=396000.0s] a=8282.51, goal=8218.53, Fs=-1.0000, reward=-343.399
[t=408000.0s] a=8261.07, goal=8218.53, Fs=-0.7649, reward=-348.904
[t=420000.0s] a=8237.78, goal=8218.53, Fs=0.6036, reward=-361.961
 SUCCESS #5 of #7 episodes

 ------------------------------------------------- 
[t=12000.0s] a=7568.54, goal=7860.58, Fs=0.4433, reward=-40.637
[t=24000.0s] a=7571.20, goal=7860.58, Fs=0.4209, reward=-50.147
[t=36000.0s] a=7575.40, goal=7860.58, Fs=0.7099, reward=-62.616
[t=48000.0s] a=7570.72, goal=7860.58, Fs=-0.6336, reward=-129.321
[t=60000.0s] a=7575.54, goal=7860.58, Fs=-0.7572, reward=-140.076
[t=72000.0s] a=7580.88, goal=7860.58, Fs=1.0000, reward=-94.969
[t=84000.0s] a=7576.27, goal=7860.58, Fs=0.4187, reward=-99.618
[t=96000.0s] a=7581.89, goal=7860.58, Fs=-0.1573, reward=-163.441
[t=108000.0s] a=7588.51, goal=7860.58, Fs=-0.9665, reward=-180.872
[t=120000.0s] a=7599.82, goal=7860.58, Fs=-0.4603, reward=-184.678
[t=132000.0s] a=7605.61, goal=7860.58, Fs=-1.0000, reward=-199.496
[t=144000.0s] a=7621.44, goal=7860.58, Fs=1.0000, reward=-150.914
[t=156000.0s] a=7629.39, goal=7860.58, Fs=0.3687, reward=-153.805
[t=168000.0s] a=7645.28, goal=7860.58, Fs=0.0558, reward=-159.088
[t=180000.0s] a=7658.68, goal=7860.58, Fs=1.0000, reward=-177.189
[t=192000.0s] a=7667.24, goal=7860.58, Fs=-0.7050, reward=-190.384
[t=204000.0s] a=7670.11, goal=7860.58, Fs=0.9723, reward=-195.770
