
 ------------------------------------------------- 
[t=1668000.0s] a=28205, e=0.6442, i=6.1209, Fr=1.0000, Fs=0.3328, Fw=-1.0000, reward=664.160
[t=1680000.0s] a=28230, e=0.6435, i=6.1287, Fr=-0.3196, Fs=1.0000, Fw=-1.0000, reward=1037.772
[t=1692000.0s] a=28251, e=0.6415, i=6.2127, Fr=0.6052, Fs=1.0000, Fw=0.6488, reward=745.701
[t=1704000.0s] a=28319, e=0.6400, i=6.2435, Fr=0.2468, Fs=1.0000, Fw=1.0000, reward=1053.541
[t=1716000.0s] a=28482, e=0.6409, i=6.1736, Fr=-0.9286, Fs=1.0000, Fw=-0.1799, reward=576.810
[t=1728000.0s] a=28579, e=0.6413, i=6.1730, Fr=0.8910, Fs=0.8729, Fw=1.0000, reward=957.035
[t=1740000.0s] a=28643, e=0.6398, i=6.0736, Fr=0.0838, Fs=-0.2557, Fw=1.0000, reward=560.447
[t=1752000.0s] a=28705, e=0.6381, i=5.9687, Fr=-0.9682, Fs=-0.9699, Fw=0.5072, reward=273.850
[t=1764000.0s] a=28911, e=0.6396, i=5.9200, Fr=-1.0000, Fs=0.9655, Fw=0.9010, reward=919.863
[t=1776000.0s] a=29031, e=0.6403, i=5.9149, Fr=-0.4014, Fs=1.0000, Fw=-0.0596, reward=527.077
[t=1788000.0s] a=29081, e=0.6386, i=5.8065, Fr=1.0000, Fs=1.0000, Fw=0.3943, reward=720.029
[t=1800000.0s] a=29105, e=0.6362, i=5.6903, Fr=-0.4518, Fs=0.4132, Fw=-0.5796, reward=433.284
[t=1812000.0s] a=29101, e=0.6342, i=5.6323, Fr=0.6716, Fs=1.0000, Fw=0.2841, reward=646.764
[t=1824000.0s] a=29176, e=0.6343, i=5.6328, Fr=0.2835, Fs=1.0000, Fw=0.1304, reward=566.084
[t=1836000.0s] a=29254, e=0.6332, i=5.5431, Fr=-0.9595, Fs=1.0000, Fw=1.0000, reward=1059.653
