
 ------------------------------------------------- 
[t=1668000.0s] a=27621, e=0.6349, i=6.0562, Fr=-0.9081, Fs=0.6193, Fw=0.5550, reward=585.015
[t=1680000.0s] a=27733, e=0.6358, i=6.0618, Fr=1.0000, Fs=1.0000, Fw=-0.6824, reward=807.794
[t=1692000.0s] a=27799, e=0.6345, i=5.9953, Fr=0.1357, Fs=1.0000, Fw=0.7431, reward=913.522
[t=1704000.0s] a=27829, e=0.6324, i=5.9371, Fr=-0.9051, Fs=1.0000, Fw=0.1501, reward=578.849
[t=1716000.0s] a=27788, e=0.6301, i=5.8639, Fr=-0.6536, Fs=0.9798, Fw=1.0000, reward=978.279
[t=1728000.0s] a=27996, e=0.6324, i=5.8496, Fr=-0.0798, Fs=0.8381, Fw=1.0000, reward=950.280
[t=1740000.0s] a=27992, e=0.6298, i=5.7964, Fr=-0.6937, Fs=1.0000, Fw=0.8744, reward=988.499
[t=1752000.0s] a=28042, e=0.6280, i=5.6798, Fr=0.5498, Fs=1.0000, Fw=0.5724, reward=814.255
[t=1764000.0s] a=28173, e=0.6286, i=5.6398, Fr=0.8739, Fs=0.4603, Fw=0.3133, reward=379.307
[t=1776000.0s] a=28331, e=0.6298, i=5.6280, Fr=0.4752, Fs=0.6220, Fw=1.0000, reward=845.831
[t=1788000.0s] a=28310, e=0.6267, i=5.5301, Fr=0.3623, Fs=-0.0014, Fw=-1.0000, reward=379.911
[t=1800000.0s] a=28382, e=0.6253, i=5.4002, Fr=0.1173, Fs=1.0000, Fw=0.1264, reward=568.814
[t=1812000.0s] a=28476, e=0.6254, i=5.3665, Fr=-1.0000, Fs=1.0000, Fw=1.0000, reward=972.387
[t=1824000.0s] a=28661, e=0.6270, i=5.3393, Fr=-0.6657, Fs=1.0000, Fw=1.0000, reward=1041.665
[t=1836000.0s] a=28683, e=0.6246, i=5.2451, Fr=-0.9011, Fs=0.9552, Fw=0.4470, reward=727.578
[t=1848000.0s] a=28781, e=0.6234, i=5.1305, Fr=-0.7108, Fs=1.0000, Fw=0.9974, reward=1038.137
[t=1860000.0s] a=28870, e=0.6234, i=5.1063, Fr=-0.6533, Fs=1.0000, Fw=1.0000, reward=970.472
[t=1872000.0s] a=28842, e=0.6214, i=5.0798, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=1032.252
[t=1884000.0s] a=28852, e=0.6188, i=4.9487, Fr=0.8006, Fs=1.0000, Fw=0.0454, reward=525.089
[t=1896000.0s] a=28908, e=0.6168, i=4.8122, Fr=-0.9634, Fs=1.0000, Fw=1.0000, reward=1039.433
[t=1908000.0s] a=28978, e=0.6163, i=4.7814, Fr=0.1288, Fs=1.0000, Fw=-0.3090, reward=657.739
[t=1920000.0s] a=28954, e=0.6145, i=4.7719, Fr=1.0000, Fs=1.0000, Fw=-0.0610, reward=519.354
[t=1932000.0s] a=29022, e=0.6129, i=4.6830, Fr=0.8297, Fs=1.0000, Fw=1.0000, reward=1058.085
[t=1944000.0s] a=29069, e=0.6109, i=4.5800, Fr=1.0000, Fs=0.9057, Fw=0.8649, reward=928.531
[t=1956000.0s] a=29250, e=0.6123, i=4.5303, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=991.331
[t=1968000.0s] a=29378, e=0.6132, i=4.5180, Fr=0.8467, Fs=1.0000, Fw=0.8598, reward=949.053
[t=1980000.0s] a=29401, e=0.6109, i=4.4220, Fr=0.3025, Fs=1.0000, Fw=1.0000, reward=1057.202
[t=1992000.0s] a=29465, e=0.6090, i=4.2759, Fr=-0.5865, Fs=0.4486, Fw=1.0000, reward=773.454
[t=2004000.0s] a=29553, e=0.6084, i=4.1958, Fr=-0.3151, Fs=1.0000, Fw=-0.3792, reward=680.976
[t=2016000.0s] a=29632, e=0.6086, i=4.1930, Fr=-0.6302, Fs=0.6720, Fw=-0.5979, reward=613.044
[t=2028000.0s] a=29577, e=0.6051, i=4.0890, Fr=0.4163, Fs=1.0000, Fw=-0.6510, reward=754.093
[t=2040000.0s] a=29628, e=0.6029, i=3.9631, Fr=0.5300, Fs=1.0000, Fw=1.0000, reward=1056.198
[t=2052000.0s] a=29629, e=0.6004, i=3.8736, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=1024.326
[t=2064000.0s] a=29730, e=0.6010, i=3.8743, Fr=-1.0000, Fs=1.0000, Fw=-0.2234, reward=613.738
[t=2076000.0s] a=29980, e=0.6032, i=3.8031, Fr=0.3623, Fs=1.0000, Fw=1.0000, reward=1046.072
[t=2088000.0s] a=30006, e=0.6005, i=3.6836, Fr=0.0084, Fs=1.0000, Fw=0.2858, reward=659.432
[t=2100000.0s] a=30072, e=0.5989, i=3.5823, Fr=1.0000, Fs=1.0000, Fw=-1.0000, reward=929.052
[t=2112000.0s] a=30346, e=0.6022, i=3.5807, Fr=-1.0000, Fs=1.0000, Fw=0.7974, reward=880.661
[t=2124000.0s] a=30234, e=0.5984, i=3.5395, Fr=-0.5165, Fs=1.0000, Fw=1.0000, reward=1032.983
