
 ------------------------------------------------- 
[t=1380000.0s] a=26687, e=0.6654, i=4.7329, Fr=-0.5228, Fs=1.0000, Fw=0.5993, reward=743.906
[t=1392000.0s] a=26677, e=0.6631, i=4.8323, Fr=-1.0000, Fs=1.0000, Fw=-0.4787, reward=768.018
[t=1404000.0s] a=26682, e=0.6612, i=4.9146, Fr=0.2937, Fs=0.6494, Fw=1.0000, reward=760.727
[t=1416000.0s] a=26872, e=0.6634, i=4.9178, Fr=0.4866, Fs=1.0000, Fw=0.8885, reward=918.521
[t=1428000.0s] a=26816, e=0.6607, i=4.9898, Fr=0.2076, Fs=1.0000, Fw=-1.0000, reward=1056.904
[t=1440000.0s] a=26836, e=0.6588, i=5.1109, Fr=0.9282, Fs=1.0000, Fw=-1.0000, reward=1056.553
[t=1452000.0s] a=26865, e=0.6577, i=5.1641, Fr=0.4814, Fs=1.0000, Fw=-1.0000, reward=1010.027
[t=1464000.0s] a=26931, e=0.6578, i=5.1737, Fr=0.5171, Fs=1.0000, Fw=0.1533, reward=562.333
[t=1476000.0s] a=26920, e=0.6556, i=5.2437, Fr=1.0000, Fs=0.2365, Fw=-0.5045, reward=400.129
[t=1488000.0s] a=26958, e=0.6539, i=5.3183, Fr=0.1805, Fs=1.0000, Fw=-0.8886, reward=984.275
[t=1500000.0s] a=27025, e=0.6536, i=5.3512, Fr=-0.4815, Fs=1.0000, Fw=0.3501, reward=678.474
[t=1512000.0s] a=26980, e=0.6516, i=5.3908, Fr=-0.5291, Fs=0.3612, Fw=-0.5184, reward=465.856
[t=1524000.0s] a=27005, e=0.6496, i=5.4795, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=880.178
[t=1536000.0s] a=27049, e=0.6481, i=5.5559, Fr=0.3501, Fs=-0.5529, Fw=-0.0630, reward=34.092
[t=1548000.0s] a=27225, e=0.6501, i=5.5610, Fr=-0.1661, Fs=1.0000, Fw=1.0000, reward=976.472
[t=1560000.0s] a=27282, e=0.6491, i=5.6201, Fr=1.0000, Fs=1.0000, Fw=0.7924, reward=803.627
[t=1572000.0s] a=27309, e=0.6469, i=5.7412, Fr=1.0000, Fs=1.0000, Fw=-0.4312, reward=740.309
[t=1584000.0s] a=27471, e=0.6477, i=5.7822, Fr=-1.0000, Fs=1.0000, Fw=-0.5521, reward=771.034
[t=1596000.0s] a=27700, e=0.6504, i=5.7848, Fr=0.4264, Fs=0.3254, Fw=1.0000, reward=598.493
[t=1608000.0s] a=27675, e=0.6477, i=5.8347, Fr=-0.1190, Fs=0.7796, Fw=0.4641, reward=565.762
[t=1620000.0s] a=27715, e=0.6459, i=5.9158, Fr=0.9631, Fs=1.0000, Fw=1.0000, reward=902.287
[t=1632000.0s] a=27684, e=0.6437, i=5.9495, Fr=1.0000, Fs=-0.2684, Fw=-1.0000, reward=492.721
[t=1644000.0s] a=27911, e=0.6462, i=5.9554, Fr=0.2430, Fs=1.0000, Fw=-1.0000, reward=1038.723
[t=1656000.0s] a=27961, e=0.6448, i=6.0387, Fr=1.0000, Fs=1.0000, Fw=0.9599, reward=862.713
[t=1668000.0s] a=28055, e=0.6438, i=6.1311, Fr=-0.3871, Fs=0.6635, Fw=0.9250, reward=732.930
[t=1680000.0s] a=28171, e=0.6441, i=6.1305, Fr=-0.5336, Fs=1.0000, Fw=1.0000, reward=1009.546
[t=1692000.0s] a=28128, e=0.6421, i=6.1671, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=906.834
[t=1704000.0s] a=28134, e=0.6398, i=6.2014, Fr=1.0000, Fs=0.2318, Fw=0.6860, reward=477.072
[t=1716000.0s] a=28197, e=0.6384, i=6.1886, Fr=-1.0000, Fs=0.8836, Fw=-1.0000, reward=843.203
[t=1728000.0s] a=28407, e=0.6404, i=6.1483, Fr=0.1108, Fs=1.0000, Fw=1.0000, reward=983.406
[t=1740000.0s] a=28551, e=0.6412, i=6.1594, Fr=0.6612, Fs=0.7284, Fw=0.4864, reward=612.040
[t=1752000.0s] a=28560, e=0.6388, i=6.0919, Fr=-0.3401, Fs=1.0000, Fw=-1.0000, reward=882.614
[t=1764000.0s] a=28640, e=0.6376, i=5.9742, Fr=-0.4777, Fs=1.0000, Fw=0.6805, reward=870.336
[t=1776000.0s] a=28689, e=0.6369, i=5.9186, Fr=0.4386, Fs=0.2571, Fw=0.3375, reward=287.901
[t=1788000.0s] a=28763, e=0.6367, i=5.9099, Fr=-0.4843, Fs=1.0000, Fw=0.6570, reward=852.628
[t=1800000.0s] a=28849, e=0.6355, i=5.7824, Fr=0.7678, Fs=1.0000, Fw=-1.0000, reward=877.662
[t=1812000.0s] a=28872, e=0.6332, i=5.6713, Fr=-0.5824, Fs=-0.9046, Fw=-0.3075, reward=120.260
[t=1824000.0s] a=28945, e=0.6330, i=5.6323, Fr=-0.2481, Fs=0.3476, Fw=-0.1934, reward=270.722
[t=1836000.0s] a=29051, e=0.6334, i=5.6280, Fr=-1.0000, Fs=0.1565, Fw=-0.2505, reward=188.168
[t=1848000.0s] a=29124, e=0.6319, i=5.5080, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=1060.006
[t=1860000.0s] a=29171, e=0.6299, i=5.3784, Fr=0.0825, Fs=1.0000, Fw=-0.5597, reward=723.856
[t=1872000.0s] a=29296, e=0.6301, i=5.3136, Fr=-1.0000, Fs=1.0000, Fw=0.6486, reward=807.730
[t=1884000.0s] a=29351, e=0.6298, i=5.3076, Fr=-0.3306, Fs=1.0000, Fw=-0.1162, reward=551.814
[t=1896000.0s] a=29410, e=0.6281, i=5.1928, Fr=-0.4794, Fs=1.0000, Fw=1.0000, reward=1059.531
[t=1908000.0s] a=29477, e=0.6263, i=5.0901, Fr=-1.0000, Fs=1.0000, Fw=-0.3455, reward=631.676
[t=1920000.0s] a=29522, e=0.6250, i=5.0255, Fr=0.6888, Fs=1.0000, Fw=0.9797, reward=1002.063
[t=1932000.0s] a=29697, e=0.6268, i=5.0246, Fr=-0.9696, Fs=1.0000, Fw=-0.1469, reward=571.125
[t=1944000.0s] a=29709, e=0.6246, i=4.9404, Fr=-0.7084, Fs=0.7214, Fw=-1.0000, reward=747.885
[t=1956000.0s] a=29746, e=0.6221, i=4.7980, Fr=-0.7978, Fs=1.0000, Fw=0.1160, reward=562.752
[t=1968000.0s] a=29857, e=0.6215, i=4.6993, Fr=0.5302, Fs=-0.0737, Fw=-0.3067, reward=140.462
[t=1980000.0s] a=30068, e=0.6238, i=4.6956, Fr=-1.0000, Fs=1.0000, Fw=0.5361, reward=775.189
[t=1992000.0s] a=29995, e=0.6204, i=4.6275, Fr=1.0000, Fs=0.9705, Fw=-0.1109, reward=525.303
[t=2004000.0s] a=30058, e=0.6185, i=4.4994, Fr=-1.0000, Fs=1.0000, Fw=-1.0000, reward=877.548
[t=2016000.0s] a=30078, e=0.6160, i=4.3908, Fr=-1.0000, Fs=1.0000, Fw=0.2770, reward=642.059
[t=2028000.0s] a=30167, e=0.6160, i=4.3595, Fr=-0.0599, Fs=1.0000, Fw=0.3984, reward=686.909
[t=2040000.0s] a=30311, e=0.6167, i=4.3123, Fr=0.4756, Fs=0.7151, Fw=-0.3036, reward=482.492
[t=2052000.0s] a=30332, e=0.6141, i=4.2085, Fr=-1.0000, Fs=1.0000, Fw=1.0000, reward=1060.068
