
 ------------------------------------------------- 
[t=1116000.0s] a=25853, e=0.6856, i=3.3145, Fr=1.0000, Fs=1.0000, Fw=0.2457, reward=632.593
[t=1128000.0s] a=25787, e=0.6839, i=3.2999, Fr=-1.0000, Fs=1.0000, Fw=-0.7404, reward=836.764
[t=1140000.0s] a=25761, e=0.6819, i=3.2475, Fr=0.6965, Fs=1.0000, Fw=1.0000, reward=1047.606
[t=1152000.0s] a=25810, e=0.6809, i=3.1900, Fr=0.6390, Fs=-0.0254, Fw=-1.0000, reward=480.546
[t=1164000.0s] a=25851, e=0.6807, i=3.1830, Fr=0.0325, Fs=-0.0817, Fw=1.0000, reward=466.325
[t=1176000.0s] a=26032, e=0.6822, i=3.2380, Fr=0.2456, Fs=1.0000, Fw=1.0000, reward=897.738
[t=1188000.0s] a=26064, e=0.6809, i=3.3262, Fr=-1.0000, Fs=0.1045, Fw=1.0000, reward=449.945
[t=1200000.0s] a=25974, e=0.6781, i=3.3631, Fr=-0.2405, Fs=0.6337, Fw=1.0000, reward=798.065
[t=1212000.0s] a=25927, e=0.6766, i=3.3842, Fr=1.0000, Fs=0.9573, Fw=-0.9630, reward=994.099
[t=1224000.0s] a=25886, e=0.6742, i=3.4739, Fr=0.1658, Fs=0.1967, Fw=0.9825, reward=471.101
[t=1236000.0s] a=25931, e=0.6730, i=3.5504, Fr=-1.0000, Fs=1.0000, Fw=1.0000, reward=921.971
[t=1248000.0s] a=26044, e=0.6739, i=3.5614, Fr=0.5477, Fs=1.0000, Fw=1.0000, reward=982.512
[t=1260000.0s] a=26138, e=0.6739, i=3.5989, Fr=-0.1148, Fs=0.8757, Fw=-1.0000, reward=995.805
[t=1272000.0s] a=26180, e=0.6724, i=3.6932, Fr=0.9584, Fs=1.0000, Fw=-0.0970, reward=554.515
[t=1284000.0s] a=26310, e=0.6730, i=3.7631, Fr=-0.1234, Fs=0.2455, Fw=-0.9537, reward=604.494
[t=1296000.0s] a=26356, e=0.6729, i=3.7713, Fr=-1.0000, Fs=1.0000, Fw=-0.2092, reward=615.403
[t=1308000.0s] a=26358, e=0.6710, i=3.8377, Fr=-1.0000, Fs=1.0000, Fw=1.0000, reward=875.276
