
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=48000.0s] a=8507, e=0.1169, goal_e=0.1917, Fr=-0.7977, Fs=0.7294, reward=418.287
[t=60000.0s] a=8500, e=0.1205, goal_e=0.1917, Fr=1.0000, Fs=0.9575, reward=425.149
[t=72000.0s] a=8512, e=0.1252, goal_e=0.1917, Fr=-0.4439, Fs=1.0000, reward=416.334
[t=84000.0s] a=8504, e=0.1283, goal_e=0.1917, Fr=-0.5371, Fs=1.0000, reward=432.829
[t=96000.0s] a=8506, e=0.1309, goal_e=0.1917, Fr=-0.2387, Fs=0.4765, reward=433.928
[t=108000.0s] a=8488, e=0.1362, goal_e=0.1917, Fr=-0.7663, Fs=0.8030, reward=627.224
[t=120000.0s] a=8497, e=0.1395, goal_e=0.1917, Fr=-1.0000, Fs=-1.0000, reward=644.399
[t=132000.0s] a=8496, e=0.1429, goal_e=0.1917, Fr=0.6314, Fs=-0.4474, reward=446.878
[t=144000.0s] a=8500, e=0.1472, goal_e=0.1917, Fr=-0.2673, Fs=-1.0000, reward=652.995
[t=156000.0s] a=8496, e=0.1512, goal_e=0.1917, Fr=-1.0000, Fs=1.0000, reward=655.660
[t=168000.0s] a=8502, e=0.1539, goal_e=0.1917, Fr=1.0000, Fs=-1.0000, reward=659.359
[t=180000.0s] a=8492, e=0.1576, goal_e=0.1917, Fr=0.9973, Fs=-1.0000, reward=456.140
[t=192000.0s] a=8499, e=0.1609, goal_e=0.1917, Fr=0.3303, Fs=-0.2735, reward=668.155
[t=204000.0s] a=8517, e=0.1642, goal_e=0.1917, Fr=-1.0000, Fs=-0.6638, reward=441.416
[t=216000.0s] a=8519, e=0.1684, goal_e=0.1917, Fr=-0.2024, Fs=0.2974, reward=440.381
[t=228000.0s] a=8526, e=0.1711, goal_e=0.1917, Fr=0.1007, Fs=-0.1839, reward=415.849
[t=240000.0s] a=8520, e=0.1754, goal_e=0.1917, Fr=-0.9694, Fs=-1.0000, reward=651.847
[t=252000.0s] a=8541, e=0.1796, goal_e=0.1917, Fr=0.9272, Fs=-0.2785, reward=655.951
[t=264000.0s] a=8542, e=0.1819, goal_e=0.1917, Fr=-0.6598, Fs=-1.0000, reward=830.540
[t=276000.0s] a=8555, e=0.1852, goal_e=0.1917, Fr=0.5174, Fs=-0.2506, reward=1340.528
[t=288000.0s] a=8551, e=0.1880, goal_e=0.1917, Fr=-1.0000, Fs=0.5705, reward=1820.025
[t=300000.0s] a=8553, e=0.1918, goal_e=0.1917, Fr=-1.0000, Fs=0.0420, reward=2282.374
[t=312000.0s] a=8568, e=0.1950, goal_e=0.1917, Fr=-0.0952, Fs=0.3543, reward=1785.794
[t=324000.0s] a=8569, e=0.1986, goal_e=0.1917, Fr=-0.1537, Fs=-1.0000, reward=944.255
[t=336000.0s] a=8550, e=0.2026, goal_e=0.1917, Fr=0.4069, Fs=-1.0000, reward=669.967
[t=348000.0s] a=8554, e=0.2063, goal_e=0.1917, Fr=0.2316, Fs=-0.3603, reward=291.299
[t=360000.0s] a=8544, e=0.2096, goal_e=0.1917, Fr=-0.4748, Fs=0.6982, reward=324.625
[t=372000.0s] a=8535, e=0.2134, goal_e=0.1917, Fr=-0.4875, Fs=0.4744, reward=565.872
[t=384000.0s] a=8525, e=0.2179, goal_e=0.1917, Fr=-0.2310, Fs=1.0000, reward=411.538
[t=396000.0s] a=8520, e=0.2218, goal_e=0.1917, Fr=-1.0000, Fs=0.7952, reward=630.256
[t=408000.0s] a=8519, e=0.2259, goal_e=0.1917, Fr=0.7219, Fs=0.8516, reward=426.202
[t=420000.0s] a=8504, e=0.2297, goal_e=0.1917, Fr=1.0000, Fs=-0.2423, reward=457.740
[t=432000.0s] a=8514, e=0.2319, goal_e=0.1917, Fr=-0.3149, Fs=0.4892, reward=437.946
[t=444000.0s] a=8513, e=0.2349, goal_e=0.1917, Fr=-1.0000, Fs=-0.4576, reward=437.644
[t=456000.0s] a=8520, e=0.2381, goal_e=0.1917, Fr=0.8381, Fs=0.0235, reward=414.037
[t=468000.0s] a=8513, e=0.2425, goal_e=0.1917, Fr=1.0000, Fs=1.0000, reward=628.943
[t=480000.0s] a=8515, e=0.2459, goal_e=0.1917, Fr=0.8298, Fs=1.0000, reward=620.875
[t=492000.0s] a=8508, e=0.2493, goal_e=0.1917, Fr=1.0000, Fs=0.2543, reward=632.993
[t=504000.0s] a=8516, e=0.2531, goal_e=0.1917, Fr=-0.5577, Fs=-0.9340, reward=409.806
[t=516000.0s] a=8503, e=0.2571, goal_e=0.1917, Fr=-0.1501, Fs=-0.9356, reward=631.435
[t=528000.0s] a=8512, e=0.2607, goal_e=0.1917, Fr=-0.2842, Fs=-1.0000, reward=412.573
[t=540000.0s] a=8508, e=0.2640, goal_e=0.1917, Fr=0.5381, Fs=0.2622, reward=420.004
[t=552000.0s] a=8514, e=0.2675, goal_e=0.1917, Fr=-0.1265, Fs=-0.5990, reward=402.763
[t=564000.0s] a=8518, e=0.2706, goal_e=0.1917, Fr=-0.4935, Fs=0.8648, reward=386.989
[t=576000.0s] a=8512, e=0.2741, goal_e=0.1917, Fr=-0.9490, Fs=1.0000, reward=600.436
[t=588000.0s] a=8505, e=0.2774, goal_e=0.1917, Fr=-0.5708, Fs=-0.0491, reward=610.405
[t=600000.0s] a=8492, e=0.2802, goal_e=0.1917, Fr=-0.0112, Fs=-0.6084, reward=402.367
[t=612000.0s] a=8500, e=0.2838, goal_e=0.1917, Fr=0.4465, Fs=0.5567, reward=406.006
[t=624000.0s] a=8495, e=0.2881, goal_e=0.1917, Fr=-0.1753, Fs=-1.0000, reward=397.843
[t=636000.0s] a=8500, e=0.2911, goal_e=0.1917, Fr=-0.0404, Fs=-0.5380, reward=398.854
[t=648000.0s] a=8492, e=0.2949, goal_e=0.1917, Fr=-0.4589, Fs=-0.8397, reward=388.395
[t=660000.0s] a=8495, e=0.2987, goal_e=0.1917, Fr=-1.0000, Fs=-0.9610, reward=387.195
[t=672000.0s] a=8477, e=0.3020, goal_e=0.1917, Fr=-0.9144, Fs=0.8543, reward=337.260
[t=684000.0s] a=8493, e=0.3054, goal_e=0.1917, Fr=1.0000, Fs=-0.0294, reward=379.056
[t=696000.0s] a=8491, e=0.3064, goal_e=0.1917, Fr=-1.0000, Fs=1.0000, reward=373.294
[t=708000.0s] a=8487, e=0.3093, goal_e=0.1917, Fr=0.2886, Fs=0.9017, reward=563.869
[t=720000.0s] a=8480, e=0.3121, goal_e=0.1917, Fr=0.2303, Fs=-0.1315, reward=340.505
[t=732000.0s] a=8478, e=0.3150, goal_e=0.1917, Fr=-0.7247, Fs=-0.8555, reward=325.422
[t=744000.0s] a=8479, e=0.3170, goal_e=0.1917, Fr=-0.6883, Fs=0.8040, reward=529.664
[t=756000.0s] a=8474, e=0.3203, goal_e=0.1917, Fr=-0.7551, Fs=0.0950, reward=307.715
[t=768000.0s] a=8480, e=0.3235, goal_e=0.1917, Fr=-0.4742, Fs=-0.8730, reward=327.192
[t=780000.0s] a=8474, e=0.3273, goal_e=0.1917, Fr=1.0000, Fs=-0.6937, reward=500.504
