
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=36000.0s] a=8488, e=0.1057, goal_e=0.2334, Fr=0.7857, Fs=-0.0627, reward=-345.463
[t=48000.0s] a=8477, e=0.1026, goal_e=0.2334, Fr=-0.6763, Fs=-0.5937, reward=-418.421
[t=60000.0s] a=8469, e=0.0997, goal_e=0.2334, Fr=-1.0000, Fs=-0.6321, reward=-265.070
[t=72000.0s] a=8454, e=0.0966, goal_e=0.2334, Fr=-1.0000, Fs=-1.0000, reward=-555.495
[t=84000.0s] a=8470, e=0.0937, goal_e=0.2334, Fr=0.5425, Fs=-0.4959, reward=-472.717
[t=96000.0s] a=8465, e=0.0897, goal_e=0.2334, Fr=-0.1252, Fs=0.8391, reward=-504.038
[t=108000.0s] a=8469, e=0.0866, goal_e=0.2334, Fr=-0.4831, Fs=1.0000, reward=-289.079
[t=120000.0s] a=8469, e=0.0840, goal_e=0.2334, Fr=0.1120, Fs=0.9504, reward=-498.216
[t=132000.0s] a=8474, e=0.0817, goal_e=0.2334, Fr=0.3431, Fs=0.1991, reward=-272.278
[t=144000.0s] a=8478, e=0.0781, goal_e=0.2334, Fr=-1.0000, Fs=-0.4086, reward=-263.740
[t=156000.0s] a=8489, e=0.0748, goal_e=0.2334, Fr=0.0475, Fs=-0.4281, reward=-423.149
[t=168000.0s] a=8497, e=0.0724, goal_e=0.2334, Fr=-0.5875, Fs=0.2903, reward=-411.439
[t=180000.0s] a=8502, e=0.0690, goal_e=0.2334, Fr=-0.4076, Fs=-0.0675, reward=-395.855
[t=192000.0s] a=8513, e=0.0653, goal_e=0.2334, Fr=0.8049, Fs=1.0000, reward=-449.710
[t=204000.0s] a=8500, e=0.0627, goal_e=0.2334, Fr=0.3280, Fs=0.7478, reward=-228.316
[t=216000.0s] a=8510, e=0.0601, goal_e=0.2334, Fr=1.0000, Fs=0.5915, reward=-448.626
[t=228000.0s] a=8501, e=0.0565, goal_e=0.2334, Fr=1.0000, Fs=0.9285, reward=-240.260
[t=240000.0s] a=8506, e=0.0537, goal_e=0.2334, Fr=1.0000, Fs=0.5497, reward=-450.484
[t=252000.0s] a=8500, e=0.0506, goal_e=0.2334, Fr=-0.1507, Fs=-1.0000, reward=-250.357
[t=264000.0s] a=8508, e=0.0467, goal_e=0.2334, Fr=1.0000, Fs=-1.0000, reward=-467.727
[t=276000.0s] a=8503, e=0.0450, goal_e=0.2334, Fr=-1.0000, Fs=0.7173, reward=-461.544
[t=288000.0s] a=8507, e=0.0428, goal_e=0.2334, Fr=0.6545, Fs=1.0000, reward=-270.498
[t=300000.0s] a=8500, e=0.0387, goal_e=0.2334, Fr=0.0043, Fs=-0.2685, reward=-266.203
[t=312000.0s] a=8506, e=0.0361, goal_e=0.2334, Fr=-0.0433, Fs=-0.2461, reward=-476.643
[t=324000.0s] a=8515, e=0.0330, goal_e=0.2334, Fr=0.1496, Fs=-0.8958, reward=-312.843
[t=336000.0s] a=8516, e=0.0292, goal_e=0.2334, Fr=-1.0000, Fs=0.2031, reward=-522.958
[t=348000.0s] a=8520, e=0.0257, goal_e=0.2334, Fr=1.0000, Fs=0.8415, reward=-546.995
[t=360000.0s] a=8511, e=0.0229, goal_e=0.2334, Fr=-1.0000, Fs=-1.0000, reward=-513.972
[t=372000.0s] a=8514, e=0.0200, goal_e=0.2334, Fr=-1.0000, Fs=0.3111, reward=-326.882
[t=384000.0s] a=8508, e=0.0170, goal_e=0.2334, Fr=0.8596, Fs=0.1851, reward=-290.664
[t=396000.0s] a=8500, e=0.0146, goal_e=0.2334, Fr=1.0000, Fs=0.2940, reward=-505.951
[t=408000.0s] a=8497, e=0.0129, goal_e=0.2334, Fr=1.0000, Fs=1.0000, reward=-509.715
[t=420000.0s] a=8500, e=0.0103, goal_e=0.2334, Fr=-0.3420, Fs=1.0000, reward=-311.682
[t=432000.0s] a=8494, e=0.0086, goal_e=0.2334, Fr=1.0000, Fs=-0.1722, reward=-299.762
[t=444000.0s] a=8499, e=0.0062, goal_e=0.2334, Fr=0.7095, Fs=1.0000, reward=-317.393
[t=456000.0s] a=8497, e=0.0038, goal_e=0.2334, Fr=1.0000, Fs=0.9489, reward=-521.973
[t=468000.0s] a=8491, e=0.0031, goal_e=0.2334, Fr=0.6407, Fs=0.4456, reward=-533.455
[t=480000.0s] a=8510, e=0.0036, goal_e=0.2334, Fr=-0.7494, Fs=1.0000, reward=-535.715
[t=492000.0s] a=8502, e=0.0061, goal_e=0.2334, Fr=-0.0201, Fs=0.1119, reward=-493.874
[t=504000.0s] a=8503, e=0.0081, goal_e=0.2334, Fr=-0.5760, Fs=0.2360, reward=-514.022
[t=516000.0s] a=8501, e=0.0097, goal_e=0.2334, Fr=-1.0000, Fs=1.0000, reward=-312.721
[t=528000.0s] a=8488, e=0.0123, goal_e=0.2334, Fr=0.6394, Fs=0.0290, reward=-307.652
[t=540000.0s] a=8472, e=0.0150, goal_e=0.2334, Fr=0.7617, Fs=-1.0000, reward=-600.499
[t=552000.0s] a=8490, e=0.0178, goal_e=0.2334, Fr=0.1715, Fs=-0.3617, reward=-314.338
[t=564000.0s] a=8488, e=0.0205, goal_e=0.2334, Fr=0.3242, Fs=-0.1508, reward=-495.710
[t=576000.0s] a=8502, e=0.0240, goal_e=0.2334, Fr=-0.5303, Fs=-1.0000, reward=-293.287
[t=588000.0s] a=8501, e=0.0274, goal_e=0.2334, Fr=1.0000, Fs=0.5982, reward=-287.382
[t=600000.0s] a=8489, e=0.0305, goal_e=0.2334, Fr=0.5451, Fs=-1.0000, reward=-301.564
[t=612000.0s] a=8485, e=0.0327, goal_e=0.2334, Fr=-0.3861, Fs=0.2957, reward=-308.198
[t=624000.0s] a=8498, e=0.0354, goal_e=0.2334, Fr=0.7011, Fs=0.0462, reward=-454.145
[t=636000.0s] a=8502, e=0.0391, goal_e=0.2334, Fr=-1.0000, Fs=1.0000, reward=-269.962
[t=648000.0s] a=8487, e=0.0420, goal_e=0.2334, Fr=-0.3497, Fs=-0.0588, reward=-268.176
[t=660000.0s] a=8500, e=0.0437, goal_e=0.2334, Fr=-0.3404, Fs=-0.7632, reward=-461.219
[t=672000.0s] a=8492, e=0.0461, goal_e=0.2334, Fr=0.2911, Fs=0.3810, reward=-464.701
[t=684000.0s] a=8505, e=0.0482, goal_e=0.2334, Fr=0.2645, Fs=-0.3008, reward=-255.134
[t=696000.0s] a=8492, e=0.0503, goal_e=0.2334, Fr=0.8964, Fs=-0.6226, reward=-461.740
[t=708000.0s] a=8501, e=0.0534, goal_e=0.2334, Fr=0.5227, Fs=-0.8840, reward=-245.851
[t=720000.0s] a=8491, e=0.0566, goal_e=0.2334, Fr=0.8264, Fs=0.3931, reward=-451.133
[t=732000.0s] a=8497, e=0.0586, goal_e=0.2334, Fr=-0.4883, Fs=-0.6445, reward=-236.892
[t=744000.0s] a=8497, e=0.0610, goal_e=0.2334, Fr=0.2241, Fs=1.0000, reward=-233.687
[t=756000.0s] a=8500, e=0.0622, goal_e=0.2334, Fr=-0.3608, Fs=0.2252, reward=-427.608
[t=768000.0s] a=8499, e=0.0649, goal_e=0.2334, Fr=-0.1320, Fs=1.0000, reward=-225.521
