
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=780000.0s] a=8531, e=0.1444, goal_e=0.1034, Fr=-1.0000, Fs=1.0000, reward=28.642
[t=792000.0s] a=8552, e=0.1436, goal_e=0.1034, Fr=0.6949, Fs=0.0821, reward=-95.344
[t=804000.0s] a=8545, e=0.1452, goal_e=0.1034, Fr=-0.4623, Fs=-0.3665, reward=-8.260
[t=816000.0s] a=8540, e=0.1441, goal_e=0.1034, Fr=0.5468, Fs=0.5192, reward=231.877
[t=828000.0s] a=8546, e=0.1441, goal_e=0.1034, Fr=0.1009, Fs=0.9314, reward=-52.574
[t=840000.0s] a=8546, e=0.1446, goal_e=0.1034, Fr=-0.0999, Fs=-0.8323, reward=-53.948
[t=852000.0s] a=8552, e=0.1449, goal_e=0.1034, Fr=-1.0000, Fs=-0.3462, reward=140.121
[t=864000.0s] a=8559, e=0.1457, goal_e=0.1034, Fr=-0.6510, Fs=0.7513, reward=-740.272
 FAILURE #5 of #5 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8490, e=0.0117, goal_e=0.1988, Fr=-0.0558, Fs=1.0000, reward=-171.879
[t=24000.0s] a=8493, e=0.0111, goal_e=0.1988, Fr=0.7780, Fs=0.1834, reward=242.182
[t=36000.0s] a=8503, e=0.0102, goal_e=0.1988, Fr=-1.0000, Fs=-0.0955, reward=247.176
[t=48000.0s] a=8513, e=0.0104, goal_e=0.1988, Fr=0.6169, Fs=-0.3409, reward=5.734
[t=60000.0s] a=8519, e=0.0107, goal_e=0.1988, Fr=-1.0000, Fs=1.0000, reward=-210.165
[t=72000.0s] a=8527, e=0.0108, goal_e=0.1988, Fr=1.0000, Fs=-1.0000, reward=138.471
[t=84000.0s] a=8519, e=0.0105, goal_e=0.1988, Fr=0.0845, Fs=0.1986, reward=-183.567
[t=96000.0s] a=8522, e=0.0114, goal_e=0.1988, Fr=0.4896, Fs=-0.5489, reward=167.067
[t=108000.0s] a=8537, e=0.0113, goal_e=0.1988, Fr=1.0000, Fs=1.0000, reward=-292.802
[t=120000.0s] a=8544, e=0.0112, goal_e=0.1988, Fr=-1.0000, Fs=0.2777, reward=-332.130
[t=132000.0s] a=8535, e=0.0111, goal_e=0.1988, Fr=-0.8761, Fs=0.6575, reward=105.867
[t=144000.0s] a=8537, e=0.0115, goal_e=0.1988, Fr=-0.1555, Fs=0.6487, reward=-288.428
[t=156000.0s] a=8535, e=0.0118, goal_e=0.1988, Fr=-1.0000, Fs=-0.1325, reward=-96.379
[t=168000.0s] a=8535, e=0.0119, goal_e=0.1988, Fr=-1.0000, Fs=-0.1863, reward=-95.427
[t=180000.0s] a=8544, e=0.0115, goal_e=0.1988, Fr=1.0000, Fs=0.3044, reward=54.985
[t=192000.0s] a=8543, e=0.0113, goal_e=0.1988, Fr=-0.6242, Fs=-0.8478, reward=57.782
[t=204000.0s] a=8555, e=0.0112, goal_e=0.1988, Fr=0.2684, Fs=-1.0000, reward=-416.479
[t=216000.0s] a=8548, e=0.0105, goal_e=0.1988, Fr=0.1023, Fs=1.0000, reward=-366.413
[t=228000.0s] a=8554, e=0.0100, goal_e=0.1988, Fr=0.2626, Fs=1.0000, reward=-23.441
[t=240000.0s] a=8552, e=0.0090, goal_e=0.1988, Fr=-0.9735, Fs=0.3230, reward=-11.854
[t=252000.0s] a=8548, e=0.0092, goal_e=0.1988, Fr=-0.4163, Fs=-0.6359, reward=-366.846
