
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=336000.0s] a=8532, e=0.0959, goal_e=0.0025, Fr=0.8414, Fs=0.1302, reward=-381.670
[t=348000.0s] a=8530, e=0.0972, goal_e=0.0025, Fr=-0.2307, Fs=0.0327, reward=-368.942
[t=360000.0s] a=8514, e=0.0976, goal_e=0.0025, Fr=-0.2128, Fs=1.0000, reward=-302.717
[t=372000.0s] a=8512, e=0.0983, goal_e=0.0025, Fr=-0.1397, Fs=-0.6916, reward=-295.475
[t=384000.0s] a=8504, e=0.1001, goal_e=0.0025, Fr=0.5430, Fs=-1.0000, reward=-81.681
[t=396000.0s] a=8505, e=0.1016, goal_e=0.0025, Fr=-1.0000, Fs=0.4087, reward=-285.245
[t=408000.0s] a=8512, e=0.1024, goal_e=0.0025, Fr=0.7073, Fs=-0.4225, reward=-304.902
[t=420000.0s] a=8500, e=0.1039, goal_e=0.0025, Fr=-1.0000, Fs=1.0000, reward=-287.199
[t=432000.0s] a=8502, e=0.1036, goal_e=0.0025, Fr=1.0000, Fs=0.1228, reward=-267.209
[t=444000.0s] a=8500, e=0.1040, goal_e=0.0025, Fr=-0.1135, Fs=-0.4265, reward=-84.396
[t=456000.0s] a=8485, e=0.1027, goal_e=0.0025, Fr=0.2089, Fs=1.0000, reward=-115.538
[t=468000.0s] a=8482, e=0.1018, goal_e=0.0025, Fr=0.1652, Fs=0.5260, reward=-326.548
[t=480000.0s] a=8482, e=0.1025, goal_e=0.0025, Fr=-0.8005, Fs=-1.0000, reward=-332.084
[t=492000.0s] a=8493, e=0.1023, goal_e=0.0025, Fr=0.1819, Fs=1.0000, reward=-290.987
[t=504000.0s] a=8492, e=0.1028, goal_e=0.0025, Fr=1.0000, Fs=-0.3877, reward=-295.429
[t=516000.0s] a=8487, e=0.1016, goal_e=0.0025, Fr=-0.8569, Fs=0.8753, reward=-308.024
[t=528000.0s] a=8489, e=0.1013, goal_e=0.0025, Fr=1.0000, Fs=1.0000, reward=-100.231
[t=540000.0s] a=8486, e=0.1000, goal_e=0.0025, Fr=-1.0000, Fs=-0.6670, reward=-105.443
[t=552000.0s] a=8492, e=0.0993, goal_e=0.0025, Fr=0.3757, Fs=1.0000, reward=-87.822
[t=564000.0s] a=8494, e=0.1004, goal_e=0.0025, Fr=1.0000, Fs=-0.1773, reward=-264.568
[t=576000.0s] a=8505, e=0.0998, goal_e=0.0025, Fr=0.4462, Fs=0.5397, reward=-81.051
[t=588000.0s] a=8498, e=0.0997, goal_e=0.0025, Fr=-0.0650, Fs=-0.0537, reward=-253.719
[t=600000.0s] a=8499, e=0.1000, goal_e=0.0025, Fr=-0.0964, Fs=-0.3636, reward=-75.568
[t=612000.0s] a=8497, e=0.0998, goal_e=0.0025, Fr=-1.0000, Fs=-1.0000, reward=-279.481
[t=624000.0s] a=8489, e=0.0988, goal_e=0.0025, Fr=-0.1461, Fs=1.0000, reward=-294.429
[t=636000.0s] a=8483, e=0.0985, goal_e=0.0025, Fr=-1.0000, Fs=-1.0000, reward=-318.633
[t=648000.0s] a=8488, e=0.0990, goal_e=0.0025, Fr=-0.2238, Fs=-1.0000, reward=-98.592
[t=660000.0s] a=8474, e=0.1006, goal_e=0.0025, Fr=-0.1963, Fs=-0.1345, reward=-357.811
[t=672000.0s] a=8481, e=0.1009, goal_e=0.0025, Fr=0.1490, Fs=0.8339, reward=-330.573
[t=684000.0s] a=8490, e=0.0990, goal_e=0.0025, Fr=-1.0000, Fs=0.5889, reward=-291.546
[t=696000.0s] a=8498, e=0.1002, goal_e=0.0025, Fr=0.8415, Fs=-0.1526, reward=-259.041
[t=708000.0s] a=8505, e=0.1001, goal_e=0.0025, Fr=1.0000, Fs=-0.0932, reward=-62.566
[t=720000.0s] a=8512, e=0.1002, goal_e=0.0025, Fr=0.6499, Fs=-0.8663, reward=-301.812
[t=732000.0s] a=8513, e=0.1011, goal_e=0.0025, Fr=0.3275, Fs=0.1912, reward=-281.900
[t=744000.0s] a=8503, e=0.0998, goal_e=0.0025, Fr=-1.0000, Fs=-0.9933, reward=-279.731
[t=756000.0s] a=8503, e=0.0998, goal_e=0.0025, Fr=1.0000, Fs=-0.1506, reward=-59.436
